.obs_key_id,match_column,match_value,rcmr_term,matched_pattern,match_mode,rule_rank,rule_label,column_rank,column_order,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,n_obs_rows
53,dissection,Cerebellum (CB) - Cerebellar Vermis - CBV,Vermis,Vermis|Cerebellar Vermis|\bCBV\b,regex_ci,10,vermis pattern,3,4,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Cerebellar Vermis - CBV,71874
54,dissection,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,Nucleus dentatus cerebelli,Dentate nucleus|Nucleus dentatus|Cerebellar deep nuclei|\bCbDN\b,regex_ci,20,dentate or cerebellar deep nuclei pattern,3,4,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,52045
55,dissection,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,Cerebellar cortex,Cerebellar cortex|Lateral hemisphere of cerebellum|\bCBL\b,regex_ci,30,cerebellar cortex or lateral hemisphere pattern,3,4,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Lateral hemisphere of cerebellum - CBL,28028
67,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
67,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
67,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
67,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
67,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
67,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
67,dissection,Body of hippocampus (HiB) - Rostral CA1-2,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-2,11265
68,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
68,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
68,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
68,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
68,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
68,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
68,dissection,Body of hippocampus (HiB) - Rostral CA1-CA3,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA1-CA3,28724
69,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
69,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
69,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
69,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
69,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
69,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
69,dissection,Body of hippocampus (HiB) - Rostral CA3,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral CA3,8077
70,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
70,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
70,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
70,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
70,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
70,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
70,dissection,Body of hippocampus (HiB) - Rostral DG-CA4,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Body of hippocampus (HiB) - Rostral DG-CA4,40191
71,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
71,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
71,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
71,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
71,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
71,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
71,dissection,Head of hippocampus (HiH) - Subicular cortex - Sub,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Subicular cortex - Sub,19398
72,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
72,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
72,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
72,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
72,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
72,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
72,dissection,Head of hippocampus (HiH) - Uncal CA1,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1,39147
73,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
73,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
73,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
73,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
73,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
73,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
73,dissection,Head of hippocampus (HiH) - Uncal CA1-CA3,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA1-CA3,37911
74,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
74,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
74,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
74,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
74,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
74,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
74,dissection,Head of hippocampus (HiH) - Uncal CA2-CA3,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal CA2-CA3,12461
75,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
75,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
75,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
75,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
75,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
75,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
75,dissection,Head of hippocampus (HiH) - Uncal DG-CA4,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Head of hippocampus (HiH) - Uncal DG-CA4,35350
76,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
76,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
76,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
76,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
76,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
76,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
76,dissection,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA1-CA3,36886
77,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
77,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
77,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
77,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
77,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
77,ROIGroupFine,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,2,3,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
77,dissection,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,3,4,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,56367
78,ROIGroup,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,1,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
78,ROIGroup,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,1,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
78,ROIGroupCoarse,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,1,2,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
78,ROIGroupCoarse,Hippocampus,Hippocampus,\bhippocampus\b|Head of hippocampus|Body of hippocampus|Tail of Hippocampus|\bHippocampal\b|Dentate gyrus|\bDG\b|\bCA1\b|\bCA2\b|\bCA3\b|\bCA4\b|Subicular cortex,regex_ci,10,hippocampus group or dissection pattern,1,2,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
78,ROIGroupFine,Hippocampus,Hippocampus,Hippocampus,exact_ci,0,exact rCMR term,2,3,Hippocampus,Hippocampus,Hippocampus,Tail of Hippocampus (HiT) - Subicular cortex - Sub,22170
