Species,Stephan_col,Merged_col,Stephan_value,Merged_value,abs_diff,pct_diff,merged_teams,match_cat
Lepilemur_ruficaudatus,Cerebellum,Cerebellum_Vol.mm3,1165,1165,0,0,Stephan_collection,exact(<0.5%)
Lophocebus_albigena,Cerebellum,Cerebellum_Vol.mm3,10726,11213,487,4.540369196345329,Stephan_collection; Zilles,minor(2-5%)
Loris_tardigradus,Cerebellum,Cerebellum_Vol.mm3,728,728,0,0,Stephan_collection,exact(<0.5%)
Macaca_mulatta,Cerebellum,Cerebellum_Vol.mm3,8965,8160.555555555555,-804.4444444,-8.973167255,RillingInsel; Stephan_collection; Zilles,notable(5-100%)
Microcebus_murinus,Cerebellum,Cerebellum_Vol.mm3,234,234,0,0,Stephan_collection,exact(<0.5%)
Miopithecus_talapoin,Cerebellum,Cerebellum_Vol.mm3,3374,3374,0,0,Stephan_collection,exact(<0.5%)
Nasalis_larvatus,Cerebellum,Cerebellum_Vol.mm3,12113,12113,0,0,Stephan_collection,exact(<0.5%)
Nycticebus_coucang,Cerebellum,Cerebellum_Vol.mm3,1310,1310,0,0,Stephan_collection,exact(<0.5%)
Otolemur_crassicaudatus,Cerebellum,Cerebellum_Vol.mm3,1414,1414,0,0,Stephan_collection,exact(<0.5%)
Pan_troglodytes,Cerebellum,Cerebellum_Vol.mm3,43663,47200.18095238095,3537.1809523809497,8.101094639,Ashwell; RillingInsel; Sherwood; Stephan_collection; Zilles,notable(5-100%)
Papio_anubis,Cerebellum,Cerebellum_Vol.mm3,18683,18683,0,0,Stephan_collection,exact(<0.5%)
Perodicticus_potto,Cerebellum,Cerebellum_Vol.mm3,1699,1410,-289,-17.01000589,Ashwell; Stephan_collection,notable(5-100%)
Piliocolobus_badius,Cerebellum,Cerebellum_Vol.mm3,8648,8648,0,0,Stephan_collection,exact(<0.5%)
Pithecia_monachus,Cerebellum,Cerebellum_Vol.mm3,3908,3908,0,0,Stephan_collection,exact(<0.5%)
Plecturocebus_moloch,Cerebellum,Cerebellum_Vol.mm3,1622,879,-743,-45.80764488,Ashwell,notable(5-100%)
Pongo_pygmaeus,Cerebellum,Cerebellum_Vol.mm3,42900,44576.04166666667,1676.0416666666715,3.9068570318570432,RillingInsel; Sherwood; Stephan_collection; Zilles,minor(2-5%)
Propithecus_verreauxi,Cerebellum,Cerebellum_Vol.mm3,3957,3957,0,0,Stephan_collection,exact(<0.5%)
Pygathrix_nemaeus,Cerebellum,Cerebellum_Vol.mm3,8063,8063,0,0,Stephan_collection,exact(<0.5%)
Saguinus_midas,Cerebellum,Cerebellum_Vol.mm3,1061,1061,0,0,Stephan_collection,exact(<0.5%)
Saguinus_oedipus,Cerebellum,Cerebellum_Vol.mm3,984,984,0,0,Stephan_collection,exact(<0.5%)
Saimiri_sciureus,Cerebellum,Cerebellum_Vol.mm3,2260,1889.25,-370.75,-16.40486726,Ashwell; RillingInsel; Stephan_collection; Zilles,notable(5-100%)
Varecia_variegata,Cerebellum,Cerebellum_Vol.mm3,4286,4286,0,0,Stephan_collection,exact(<0.5%)
Alouatta_seniculus,Mesencephalon,Mesencephalon_Vol.mm3,986,986,0,0,Stephan_collection,exact(<0.5%)
Aotus_trivirgatus,Mesencephalon,Mesencephalon_Vol.mm3,409,409,0,0,Stephan_collection,exact(<0.5%)
Ateles_geoffroyi,Mesencephalon,Mesencephalon_Vol.mm3,1482,1482,0,0,Stephan_collection,exact(<0.5%)
Avahi_laniger,Mesencephalon,Mesencephalon_Vol.mm3,343,343,0,0,Stephan_collection,exact(<0.5%)
Avahi_occidentalis,Mesencephalon,Mesencephalon_Vol.mm3,345,345,0,0,Stephan_collection,exact(<0.5%)
Callimico_goeldii,Mesencephalon,Mesencephalon_Vol.mm3,340,340,0,0,Stephan_collection,exact(<0.5%)
Callithrix_jacchus,Mesencephalon,Mesencephalon_Vol.mm3,295,295,0,0,Stephan_collection,exact(<0.5%)
Callithrix_pygmaea,Mesencephalon,Mesencephalon_Vol.mm3,192,192,0,0,Stephan_collection,exact(<0.5%)
Cebus_albifrons,Mesencephalon,Mesencephalon_Vol.mm3,1221,1221,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_ascanius,Mesencephalon,Mesencephalon_Vol.mm3,1162,1162,0,0,Stephan_collection,exact(<0.5%)
Cercopithecus_mitis,Mesencephalon,Mesencephalon_Vol.mm3,1354,1354,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_major,Mesencephalon,Mesencephalon_Vol.mm3,241,241,0,0,Stephan_collection,exact(<0.5%)
Cheirogaleus_medius,Mesencephalon,Mesencephalon_Vol.mm3,145,145,0,0,Stephan_collection,exact(<0.5%)
Daubentonia_madagascariensis,Mesencephalon,Mesencephalon_Vol.mm3,897,897,0,0,Stephan_collection,exact(<0.5%)
Erythrocebus_patas,Mesencephalon,Mesencephalon_Vol.mm3,1621,1621,0,0,Stephan_collection,exact(<0.5%)
Eulemur_fulvus,Mesencephalon,Mesencephalon_Vol.mm3,590,590,0,0,Stephan_collection,exact(<0.5%)
Galago_senegalensis,Mesencephalon,Mesencephalon_Vol.mm3,205,205,0,0,Stephan_collection,exact(<0.5%)
Galagoides_demidoff,Mesencephalon,Mesencephalon_Vol.mm3,135,135,0,0,Stephan_collection,exact(<0.5%)
Gorilla_gorilla,Mesencephalon,Mesencephalon_Vol.mm3,4352,4047,-305,-7.008272059,Stephan_collection,notable(5-100%)
Homo_sapiens,Mesencephalon,Mesencephalon_Vol.mm3,8087,8087,0,0,Stephan_collection,exact(<0.5%)
Hylobates_lar,Mesencephalon,Mesencephalon_Vol.mm3,1459,1459,0,0,Stephan_collection,exact(<0.5%)
