review_keep,review_corrected_rcmr_term,review_note,rcmr_term,match_status,conflict_flag,n_candidate_rcmr_terms,candidate_rcmr_terms,assigned_column,assigned_value,assigned_rule_label,assigned_pattern,n_obs_rows,ROIGroup,ROIGroupCoarse,ROIGroupFine,dissection,candidate_evidence
TRUE,Insular lobe,,Insular lobe,assigned_single_candidate,FALSE,1,Insular lobe,dissection,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,cortical insular pattern,^Cerebral cortex \(Cx\).*?(insula|insular|Short insular|Long insular|Granular insular|Dysgranular insular|Frontal agranular insular|\bIg\b|\bIdg\b|\bFI\b),38937,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,dissection=Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig -> Insular lobe
TRUE,Nucleus accumbens,,Nucleus accumbens,assigned_single_candidate,FALSE,1,Nucleus accumbens,dissection,Basal nuclei (BN) - Nucleus Accumbens - NAC,nucleus accumbens pattern,Accumbens|Nucleus Accumbens|\bNAC\b,30132,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Nucleus Accumbens - NAC,dissection=Basal nuclei (BN) - Nucleus Accumbens - NAC -> Nucleus accumbens
TRUE,Nucleus dentatus cerebelli,,Nucleus dentatus cerebelli,assigned_single_candidate,FALSE,1,Nucleus dentatus cerebelli,dissection,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,dentate or cerebellar deep nuclei pattern,Dentate nucleus|Nucleus dentatus|Cerebellar deep nuclei|\bCbDN\b,52045,Hindbrain,Cerebellum,Cerebellum,Cerebellum (CB) - Cerebellar deep nuclei - CbDN,dissection=Cerebellum (CB) - Cerebellar deep nuclei - CbDN -> Nucleus dentatus cerebelli
TRUE,Nucleus medial thalami,,Nucleus medial thalami,assigned_single_candidate,FALSE,1,Nucleus medial thalami,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,medial thalamic pattern,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b,13382,Thalamus,Thalamus,Thalamus,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re,dissection=Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus + reuniens nucleus (medioventral nucleus) of thalamus - MD + Re -> Nucleus medial thalami
TRUE,Nucleus medial thalami,,Nucleus medial thalami,assigned_single_candidate,FALSE,1,Nucleus medial thalami,dissection,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,medial thalamic pattern,medial nuclear complex|mediodorsal|reuniens|medioventral|\bMNC\b|\bMD\b|\bRe\b,20916,Thalamus,Thalamus,Thalamus,Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD,dissection=Thalamus (THM) - medial nuclear complex of thalamus (MNC) - mediodorsal nucleus of thalamus - MD -> Nucleus medial thalami
TRUE,Nucleus ruber,,Nucleus ruber,assigned_single_candidate,FALSE,1,Nucleus ruber,dissection,Midbrain (RN) - Red Nucleus - RN,red nucleus exact dissection,^Midbrain \(RN\) - Red Nucleus - RN$,4714,Midbrain,Midbrain,Midbrain,Midbrain (RN) - Red Nucleus - RN,dissection=Midbrain (RN) - Red Nucleus - RN -> Nucleus ruber
TRUE,Nucleus subthalamicus,,Nucleus subthalamicus,assigned_single_candidate,FALSE,1,Nucleus subthalamicus,dissection,Thalamus (THM) - Subthalamic nucleus and nearby - STH,subthalamic pattern,Subthalamic|\bSTH\b,20162,Thalamus,Thalamus,Thalamus,Thalamus (THM) - Subthalamic nucleus and nearby - STH,dissection=Thalamus (THM) - Subthalamic nucleus and nearby - STH -> Nucleus subthalamicus
TRUE,Occipital lobe,,Occipital lobe,assigned_single_candidate,FALSE,1,Occipital lobe,dissection,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2",cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),32638,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2","dissection=Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2 -> Occipital lobe"
TRUE,Occipital lobe,,Occipital lobe,assigned_single_candidate,FALSE,1,Occipital lobe,dissection,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro",cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),28051,Cerebral cortex,Cerebral cortex,Cerebral cortex,"Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro","dissection=Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro -> Occipital lobe"
TRUE,Occipital lobe,,Occipital lobe,assigned_single_candidate,FALSE,1,Occipital lobe,dissection,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),33484,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,dissection=Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C -> Occipital lobe
TRUE,Occipital lobe,,Occipital lobe,assigned_single_candidate,FALSE,1,Occipital lobe,dissection,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,cortical occipital pattern,^Cerebral cortex \(Cx\).*?(cuneus|lingual|occipital|peristriate|prostriata|visual|Primary Visual|Lingual gyrus \(LiG\)|\bV1C?\b|\bV2\b|\bA19\b|\bMT\b|\bSOG\b|\bPro\b),29674,Cerebral cortex,Cerebral cortex,Cerebral cortex,Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19,dissection=Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19 -> Occipital lobe
TRUE,Pallidum,,Pallidum,assigned_single_candidate,FALSE,1,Pallidum,dissection,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,pallidum pattern,Pallidum|Globus pallidus|\bGP\b|\bGPe\b|\bGPi\b,47376,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,dissection=Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe -> Pallidum
TRUE,Pallidum,,Pallidum,assigned_single_candidate,FALSE,1,Pallidum,dissection,Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,pallidum pattern,Pallidum|Globus pallidus|\bGP\b|\bGPe\b|\bGPi\b,33968,Cerebral nuclei,Cerebral nuclei,Basal nuclei,Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi,dissection=Basal nuclei (BN) - Globus pallidus (GP) - Internal segment of globus pallidus - GPi -> Pallidum
