Species,Species_Stephan_file,Code_number_Stephan,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass,Number.of.individuals.vestibular.complex,Complexus.vestibularis,Nucleus.vestibularis.superior,Nucleus.vestibularis.lateralis,Nucleus.vestibularis.medialis,Nucleus.vestibularis.descendens,vestibular_check,Number.of.individuals.periventrucular,Nucleus.septalis.triangularis,Corpus.subfornicale,Nucleus.habenularis.medialis,Corpus.pineale,Corpus.subcommissurale
Piliocolobus_badius,Piliocolobus badius,_0246,"7,000","78,000",455,"1,016","73,818","2,007","8,648","1,333","3,945","57,885",51.3,0,937,288,"3,217",814,"1,671","50,906",22.3,"2,164",484,553,521,31.9,460,201,458,479,114,0,365,45.5,"75,289.58",36575,14331,3053,128,646.4,0.241,NA,0.053,0.072,0.116,72.394,75,7.05,2,57.3,8.68,10,24.1,14.5,-0.02,1,2.26,0.454,4.54,7.31,0.265
Pithecia_monachus,Pithecia monachus,_0174,"1,500","35,000",631,286,"32,867","1,009","3,908",745,"2,285","24,920",34.8,0.846,675,140,"1,918",289,834,"21,028",NA,,,,,NA,,NA,,,NA,NA,,NA,"33,783.78",NA,NA,1679,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,1.31,0.3,2.53,0.0623,0.189
Pithecia_pithecia,NA,NA,1580,30000,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.279,NA,0.104,0.04,0.135,28.958,30,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plecturocebus_moloch,NA,NA,900,"19,000",279,242,"17,944",787,"1,622",530,"1,375","13,465",19.2,0.325,454,86.4,920,234,588,"11,163",NA,,,,,NA,,NA,,,NA,NA,,NA,"18,339.77",NA,NA,1201,54.2,105.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_abelii,NA,NA,35600,345900,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.658,0.0195,0.3215,0.2185,0.5995,333.88,345.9,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo_pygmaeus,NA,NA,57050,336000,,,,5500,42900,4000,13500,238300,NA,NA,3800,600,11500,,2700,219800,NA,,,,1800,NA,,NA,2400,1400,NA,NA,,NA,"371,299.87",138300,81500,8233.7,259.1,4300,1.505,0.06,0.188,0.199,1.057,347.97,360.5,57.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propithecus_verreauxi,Propithecus verreauxi,_0132,"3,480","26,700",231,347,"25,194","1,223","3,957",780,"2,195","17,040",147,3.4,664,159,"1,411",443,"1,043","13,170",14.6,"1,341",328,283,263,20,324,125,292,251,78.7,0.921,172,18.8,"25,772.20",9835,3335,1106,64.5,169.3,NA,NA,NA,NA,NA,NA,NA,NA,1,43.2,8.18,7.37,15.3,12.4,0.05,1,1.6,0.507,3.65,3.26,0.357
Pygathrix_nemaeus,Pygathrix nemaeus,_0242,"7,500","77,000",911,883,"72,530","2,206","8,063","1,345","4,727","56,189",10.7,0,942,290,3.166,723,"2,295","48,763",NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,708.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus_geoffroyi,NA,NA,482,10500,,,,,,,,,NA,NA,,,,,,,NA,,,,,NA,,NA,,,NA,NA,,NA,,NA,NA,NA,NA,NA,0.023,NA,0.006,0.009,0.009,10.135,10.5,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus_midas,Saguinus midas,_0165,340,"10,300",251,122,"9,569",428,"1,061",332,692,"7,055",17.3,0.29,243,40.9,471,120,280,"5,883",NA,,,,,NA,,NA,,,NA,NA,,NA,"9,942.08",NA,NA,841,36,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,0.559,0.0795,1.18,0.216,0.0994
Saguinus_oedipus,Saguinus oedipus,_0164,380,"10,000",62.6,52.8,"9,537",413,984,333,754,"7,052",19.1,0.406,256,60.5,453,107,262,"5,894",4.93,410,152,77.6,73.2,4.45,62.7,50.5,,,NA,NA,,NA,"9,652.51",NA,NA,807,34.2,50.9,0.026,NA,0.006,0.007,0.013,8.9382,9.3,0.418,2,18.4,2.98,3.63,7.25,4.49,-0.05,1,1.08,0.167,1.55,0.392,0.0921
