genes,subclass,p_val
CHCHD6,L6CT,2.3100664228965804e-9
CHGA,L23IT,3.7105789255699505e-9
CHGA,L6CT,5.80163099283177e-10
CHGA,L6IT,2.20575851173801e-8
CHGB,L6CT,5.1706240414488506e-9
CHKA,L23IT,3.56539278158695e-8
CHKA,L6IT,2.63147124149081e-8
CHL1,L6CT,2.16983124022984e-10
CHL1,L6IT,9.310249989118061e-10
CHL1,L6ITCar3,4.98420481292423e-11
CHL1,Pvalb,1.8931283524362098e-11
CHN2,L4IT,1.69757069711434e-10
CHRD,Sst,9.53212095919422e-9
CHRM2,L6IT,1.0041837126278502e-9
CHRM3,L5ET,1.86030273817429e-10
CHRNA3,L4IT,1.29542554782341e-10
CHRNA7,L56NP,4.24938586555734e-11
CHRNB3,Chandelier,1.56154855862463e-8
CHRNB3,L6b,2.70536483963759e-8
CHRNB3,L6ITCar3,3.40801241135098e-13
CHST15,L6CT,1.0402327806823e-9
CHST15,L6ITCar3,3.75065950922219e-9
CHST9,Lamp5Lhx6,3.79955434489678e-13
CHSY3,L4IT,4.2812557212894194e-19
CHSY3,L6b,3.61719327131325e-8
CIT,L5ET,2.5548103926855697e-11
CITED2,L4IT,5.24153311518592e-9
CLEC3A,L4IT,8.382076519270379e-11
CLIC5,L56NP,3.68068322334747e-8
CLK4,Pvalb,9.65956676948232e-9
CLMN,L4IT,4.92546451005522e-14
CLMP,L56NP,4.16960183968617e-12
CLMP,L6CT,1.55862047784302e-12
CLSTN2,L4IT,1.30684854310638e-9
CLTCL1,L4IT,1.7914824940371501e-9
CMAHP,L5ET,1.52202246507395e-10
CMAHP,L6IT,2.84021260402211e-8
CMSS1,L4IT,1.21043883549606e-9
CMTM8,L5ET,9.07212435119564e-16
CMTM8,L5IT,2.5351144294489397e-11
CMTM8,L6b,2.06522367776441e-11
CMTM8,L6CT,1.89580644871672e-12
CMTM8,Pvalb,6.80604747218704e-15
CNGA3,L5ET,3.6881835495636e-9
CNGB1,L23IT,4.25682699544676e-15
CNGB1,L4IT,1.49299184735863e-10
CNGB1,L56NP,1.4331494912887902e-9
CNGB1,L5ET,2.3412805286071398e-12
CNGB1,L5IT,1.77524845812688e-10
CNGB1,L6CT,8.208141086172781e-10
CNIH3,L5ET,5.805794729246979e-11
CNN3,L4IT,8.568780811458041e-9
CNN3,Sst,3.0483193232994e-8
CNR1,Chandelier,4.51961597464386e-9
CNR1,L4IT,2.29158093876889e-13
CNR1,L5ET,3.17057739426947e-8
CNR1,L5IT,1.9015453170745e-11
CNTN2,L4IT,1.2264593654916202e-9
CNTN3,L23IT,2.0753650236967e-10
CNTN3,L4IT,1.31995718752466e-10
CNTN3,L5IT,2.9558819805596403e-9
CNTN3,L6ITCar3,3.15181267013974e-8
CNTN5,L5ET,8.89084360687699e-10
CNTN5,L6CT,1.4002149053523298e-11
CNTN5,L6IT,1.2507500897744098e-11
CNTN5,L6ITCar3,6.581226872718891e-9
CNTN6,L4IT,5.739707426080701e-10
CNTN6,L56NP,4.05044645696159e-11
CNTN6,L5ET,3.6186591070656795e-11
CNTN6,L5IT,7.889268154464721e-9
CNTN6,L6IT,8.988324370536071e-9
CNTNAP1,L6CT,5.03023314953684e-9
CNTNAP2,L4IT,1.91303199647163e-8
CNTNAP2,L6ITCar3,1.89057329047518e-11
CNTNAP2,Lamp5Lhx6,4.56083075788272e-9
CNTNAP3,L5IT,1.06730531230555e-11
CNTNAP3,L6IT,8.114865686350611e-14
CNTNAP3B,L6IT,3.41981468132237e-8
CNTNAP3P2,L6IT,4.03392294859978e-10
CNTNAP4,L5IT,2.73767993017782e-8
CNTNAP5,L4IT,1.3029112234425901e-9
CNTNAP5,L6CT,3.73182818922119e-10
CNTNAP5,L6IT,8.029039710606971e-9
CNTNAP5,L6ITCar3,1.14668633744465e-9
CNTRL,L6ITCar3,1.35085164012892e-8
COBL,L4IT,5.3738195574062305e-9
COG2,Pvalb,2.85561201791506e-8
COG5,L4IT,5.1592587684816496e-11
COL11A1,L5ET,1.34274269713046e-8
COL11A1,Pvalb,1.69801656731259e-8
COL12A1,L4IT,3.13264283178568e-10
COL12A1,L56NP,8.72478001677916e-12
COL12A1,L5ET,4.33372767102207e-11
COL12A1,Sst,3.49910810451157e-8
COL16A1,L5IT,1.10590452015881e-8
COL18A1,L5IT,8.52249715141869e-12
COL21A1,L4IT,1.98628750730694e-8
COL21A1,L5ET,2.2149302800081e-11
COL21A1,L5IT,9.39574410105267e-12
COL21A1,L6IT,1.0368333408871e-8
COL22A1,L4IT,2.4942729973496203e-9
COL22A1,L5IT,3.94794344596057e-8
COL23A1,L4IT,3.93139361687862e-8
COL23A1,L5IT,3.05609633222408e-8
COL24A1,L5ET,2.7162097317110097e-11
COL25A1,L6b,1.0594597260284e-8
COL4A3,Lamp5,7.649098386899059e-11
COL5A1,L6IT,4.99524267102672e-10
COL5A2,L4IT,1.20631395889538e-8
COL5A2,L5ET,1.72958823739044e-16
COL5A2,L5IT,8.46954308197902e-9
COLGALT2,L5ET,5.07576186450993e-11
CPEB1,L6CT,6.572645693321649e-12
CPEB2-AS1,L5ET,2.37205956015345e-12
CPED1,L6ITCar3,3.67851825534892e-10
CPED1,Vip,6.7568611283769505e-9
CPLX1,L4IT,1.84683420047062e-12
CPLX2,L6CT,6.589032072347289e-11
CPNE4,L4IT,3.45811984858822e-8
CPNE5,L4IT,2.7369992424336698e-11
CPNE7,L23IT,2.0859404726472503e-9
CPNE7,L4IT,2.67117468282558e-8
CPNE8,L4IT,1.6656234585822e-8
CPNE8,L56NP,3.61801219411427e-8
CPNE8,L5ET,1.01639461615482e-11
CPNE8,L5IT,4.1199185903542494e-11
CPNE8,L6ITCar3,1.57516156900415e-14
CPNE9,L5ET,4.43125622268124e-10
CPT1C,L4IT,3.43308243314754e-8
CPXM2,L4IT,8.054680896658021e-10
CPXM2,L5IT,2.511321515005e-8
CR1,L56NP,1.80772687898357e-8
CRB1,L23IT,3.58230421313821e-8
CREB3L2,L6CT,3.4827035237514803e-9
CREB5,L4IT,7.85618000358452e-10
CREM,L6IT,2.4623907677437203e-9
CRIM1,L4IT,5.030716179108061e-9
CRIM1,L5ET,1.85314594601194e-9
CRIM1,L5IT,1.42131474752848e-9
CRIM1,L6CT,1.4235713227894999e-12
CRIP3,L5ET,1.20752342650509e-8
CRISPLD1,L6CT,1.4188795491185301e-9
CRMP1,L6CT,6.2350946216226e-9
CRTAC1,L4IT,1.46163373217032e-8
CRYGD,L6CT,4.17032531785727e-9
CRYM-AS1,L23IT,4.08535116238315e-10
CRYM-AS1,L4IT,3.6674567955928205e-9
CSDC2,L4IT,1.29184529829271e-10
CSDC2,L56NP,7.82033828828581e-9
CSDC2,L5ET,3.54350657201927e-10
CSDC2,L5IT,2.49515986372973e-9
CSGALNACT1,L4IT,1.58952967492872e-13
CSGALNACT1,L5ET,2.77197467986494e-12
CSGALNACT1,L6CT,6.15742891456506e-13
CSMD2,L6b,5.62928121540322e-9
CSMD2,L6CT,3.2399413116642e-14
CTBP2,L4IT,1.01824725909719e-8
CTBP2,L56NP,1.31480677422585e-8
CTBP2,L6ITCar3,1.0457971037072599e-11
CTBP2,Sst,3.33364626871134e-8
CTD-2297D10.2,L4IT,3.1467244203103297e-12
CTD-2297D10.2,L5IT,1.1035831565116398e-11
CTDSPL,L4IT,9.16940728532675e-9
CTNNAL1,L4IT,2.49897827630958e-8
CTNNB1,L4IT,2.00093464354005e-8
CTNND2,L4IT,3.67162980753966e-8
CTNND2,L6CT,1.87102121274877e-8
CTNND2,L6IT,5.57519021183348e-10
CTSC,L4IT,1.3759980763685002e-10
CTSC,L6CT,2.14835228041952e-9
CTSZ,L6IT,2.817783489877e-9
CUX1,L23IT,1.2837567070137e-10
CUX1,L4IT,1.17325468532286e-19
CUX2,L4IT,2.73496076198055e-15
CUX2,L56NP,3.35692133944028e-10
CUX2,L6ITCar3,8.606106624236951e-14
CXorf57,L5ET,2.4623751248482e-8
CYB5RL,L4IT,1.03156818705959e-8
CYBRD1,L6CT,1.54534357606467e-8
CYP1B1-AS1,L5ET,7.69664273843471e-9
CYP27C1,L6ITCar3,2.2106552560578403e-9
CYP2C18,L5IT,1.94836257621881e-8
CYP2S1,L5ET,2.03624574002545e-9
CYP39A1,L4IT,6.511193949254111e-9
CYSLTR1,L56NP,6.43785945237655e-13
CYYR1,L4IT,1.05243277047454e-13
DAB1,L4IT,5.7468450374160996e-12
DAB1,L5ET,2.29173337325322e-12
DAB1,L5IT,5.83514505715903e-13
DAB1,L6b,6.68474014978423e-14
DAB1,L6CT,8.77005027715781e-10
DAB1,L6IT,1.00828776071172e-13
DACH1,L6CT,6.66979749870093e-11
DACH1,L6IT,5.48697375285331e-9
DACH1,L6ITCar3,1.46005180641458e-8
DAPK1,L56NP,3.3964964966945504e-9
DAPK1,L5IT,6.6473652659815e-10
DAPK1,L6IT,4.8911911572275e-10
DAPK1,Pvalb,3.35054160825623e-12
DCBLD2,L23IT,2.74889383033093e-10
DCC,L4IT,1.92452017632712e-18
DCC,L56NP,8.54877944217223e-12
DCC,L6IT,1.7278192666020802e-9
DCDC2,L5IT,3.75268380950082e-8
DCDC2,L6CT,3.2761820922975e-8
DCDC2,L6IT,1.0521208240979e-8
DCDC2C,L23IT,1.0011999730841902e-9
DCHS2,L4IT,9.606639565490421e-10
DCHS2,L5ET,8.010293656530269e-11
DCHS2,L6b,1.50714791065525e-8
DCHS2,L6CT,3.80876109099672e-11
DCHS2,L6IT,3.00507373188137e-8
DCLK2,L4IT,9.961839875434561e-9
DCLK2,L6ITCar3,4.26295114345817e-10
DCLK3,L4IT,4.5236572851269704e-9
DCN,Pvalb,1.76194602893609e-8
DCSTAMP,L4IT,2.42780760327277e-8
DDAH1,L5ET,7.67297239664807e-14
DDR1,L5ET,1.38619455334828e-8
DENND2A,L4IT,2.26273326253137e-11
DENND2A,L56NP,2.4048980813517498e-11
DENND2A,L5IT,1.54553498380391e-8
DENND2C,L56NP,8.923358895256511e-9
DENND3,L23IT,3.03408083850877e-8
DENND3,L4IT,3.48791158941785e-10
DENND3,L5ET,6.154859339440989e-12
DFNA5,L56NP,9.164675053450461e-9
DFNB31,L23IT,8.03283577887492e-10
DFNB31,L4IT,5.877108297294579e-12
DFNB31,L56NP,3.87393010838392e-9
DFNB59,L6CT,1.28555225908278e-8
DGKB,L4IT,5.01391309761086e-11
DGKB,L5ET,2.23044127799922e-8
DGKB,L5IT,1.7454492783939102e-9
DGKB,Pvalb,3.50398059130948e-8
DGKD,L4IT,2.2252684514277302e-17
DGKD,L56NP,1.3876126986687502e-9
DGKG,L4IT,1.94715414410543e-10
DGKG,L56NP,7.29317309320893e-10
DGKH,L5ET,2.06276241995143e-11
DGKH,L5IT,1.05521570992185e-8
DGKH,L6IT,3.63344868056122e-9
DGKZ,L5ET,1.41599873437655e-8
DHRS3,L4IT,1.22252246979651e-8
DIAPH2,L4IT,2.45270196261454e-9
DIAPH2,L5ET,2.0671478701447699e-13
DIAPH2,Pvalb,1.3463336629136699e-11
DIAPH3,L4IT,4.59134003060607e-9
DIAPH3,L56NP,1.78537674090738e-8
DIAPH3,L5ET,5.69556564646143e-9
DIAPH3,L6IT,1.85409016925231e-8
DIP2A,L6IT,4.0202898643322e-8
DIP2A,L6ITCar3,7.0293207371981e-13
DIRAS3,L4IT,4.77926727607657e-9
DIXDC1,L23IT,1.32697087533605e-8
DIXDC1,L4IT,2.09498175785208e-8
DKK2,L6b,1.19076272424293e-8
DLC1,L6ITCar3,7.49382078940683e-9
DLG1,L5ET,3.06800241404814e-10
DLG1,Lamp5Lhx6,2.42399410871795e-8
DLG1,Pvalb,2.1974292078393103e-9
DLG2,L4IT,2.7560679585236e-12
DLGAP1,L23IT,3.83003725793115e-8
DLGAP1-AS4,L4IT,2.4076846509662e-8
DMD,Chandelier,1.1292526668333401e-9
DMD,L4IT,9.557975959354299e-20
DMD,L5ET,3.64082298623731e-13
DMD,Pvalb,3.17152211875236e-10
DMKN,L23IT,6.9958148451553e-11
DMXL1,L5ET,1.03238102326611e-8
DNAH14,L5IT,4.09514494522218e-12
DNAH14,L6CT,2.79546742446165e-10
DNAH14,L6IT,5.1632930256532e-17
DNAH2,L4IT,7.5021966763343e-9
DNAH5,L23IT,1.4743551046326202e-9
DNAH5,L4IT,2.61414043067798e-12
DNAH5,L56NP,3.51416008004777e-8
DNAH5,L5IT,2.01688064044265e-8
DNAH6,L23IT,3.7164750990208696e-11
DNAH6,L4IT,1.03684736664812e-9
DNAH6,L56NP,1.3834535225427e-8
DNAH6,L5ET,1.2171964325058101e-15
DNAH6,L5IT,2.3478847456849797e-11
DNAH6,L6CT,4.3694741115549197e-13
DNAH7,L4IT,7.174165257242611e-9
DNAH7,L5IT,2.02294719226372e-10
DNAI1,L5ET,1.53987619252266e-10
DNAJC1,L5IT,2.2697601933863203e-9
DNER,L5ET,9.3505795050968e-10
DNER,L5IT,1.56494777582074e-15
DNER,L6CT,6.457389168244469e-11
DNER,L6ITCar3,5.92750130298392e-10
DOC2A,Pvalb,2.65073227512749e-8
DOCK10,L6CT,4.05721325393756e-10
DOCK4,L4IT,3.19544140513381e-10
DOCK4,L6CT,2.76127391303292e-8
DOCK9,L23IT,2.47865659674288e-10
DOCK9,L6IT,5.8462797180643e-12
DOK5,L5ET,2.34021759984078e-16
DOK5,L6CT,3.29818591707099e-10
DOK6,L4IT,4.807430407832331e-10
DOK6,L5ET,2.45801500723607e-8
DOK6,L5IT,3.13022995229171e-12
DOK6,L6IT,4.31910787939903e-11
DOK6,L6ITCar3,2.89429754519223e-10
DPP10,L4IT,1.40944829435026e-12
DPP10,L56NP,2.50287791568503e-8
DPP10,L6CT,4.44667776226541e-10
DPP10,L6IT,2.16906007134582e-9
DPP4,L5IT,7.11370116514709e-10
DPP4,Sst,1.43980947192235e-17
DPP6,L56NP,8.713149508839829e-11
DPT,L6CT,3.42787888637109e-13
DPY19L1,L5IT,1.94526467655136e-9
DPY19L1,L6IT,2.63279973034999e-10
DPY19L1,L6ITCar3,1.79033906012118e-8
DPY19L1P1,L4IT,2.43342841565476e-8
DPY19L2P1,L6CT,4.00362276983101e-8
DPYD,L23IT,8.337960731503791e-14
DPYD,L4IT,9.76824731414711e-18
DPYD,L56NP,4.39752617568087e-9
DPYD,L5ET,1.79643377025543e-12
DPYD,L5IT,6.36748809144461e-16
DPYD,L6b,5.85462414965124e-9
DPYD,L6IT,3.75206218254969e-15
DPYD,Pvalb,2.48312792789911e-8
DPYD,Sst,1.28555058167035e-9
DPYD-AS1,L4IT,1.10949132839204e-12
DPYS,L4IT,4.5079416609718404e-9
DPYS,L5IT,9.63335111269347e-10
DPYSL3,L4IT,2.10454465439278e-13
DPYSL3,L56NP,1.85122970013952e-12
DPYSL3,L5IT,5.082541774341441e-9
DPYSL3,Sst,5.21217515901951e-12
DPYSL5,L56NP,2.44443072171215e-8
DPYSL5,L6IT,2.24018514903095e-9
DRAM1,Pvalb,9.332265753274161e-9
DSEL,L23IT,7.369903376773421e-9
DSG2,L5ET,2.6090725016542697e-12
DTNB,L6IT,1.22475212803506e-11
DUSP1,L6CT,3.34310206847966e-8
DUSP10,L4IT,1.75127094438287e-12
DUSP10,L56NP,7.336101524446969e-11
DUSP9,L56NP,3.80168901803961e-8
DYNC1I1,L6IT,1.25294957052497e-8
E2F3,L23IT,1.7846370410992e-8
ECE2,L5ET,3.74481234882478e-9
ECHDC3,L4IT,3.98026595079945e-8
ECM1,L5ET,9.923017328599281e-9
ECM1,L6ITCar3,1.1552806581482801e-9
EDA,L5ET,1.4504314342995402e-9
EDIL3,L56NP,4.51846723683711e-10
EDIL3,L5ET,1.36843420250198e-10
EDIL3,L6CT,4.27034520656839e-13
EDIL3,L6IT,1.1496557529340701e-14
EDNRA,L4IT,1.38822584024535e-12
EEPD1,L23IT,1.71124630751699e-8
EEPD1,L56NP,2.27052221454588e-9
EEPD1,L5ET,8.173310711708229e-11
EEPD1,L6CT,1.6828119363326202e-9
EFCAB1,L4IT,5.63208260195955e-16
EFHC2,L23IT,2.06008922199281e-10
EFHC2,L4IT,1.00246395578738e-9
EFNA5,L4IT,1.2530905077393601e-9
EFNB2,L6ITCar3,6.837035438640051e-9
EFNB2,Pvalb,3.4267892360216e-9
EFNB3,L6CT,1.48106602726012e-8
EFNB3,L6ITCar3,3.63452835110725e-8
EFR3B,L23IT,2.27797598480217e-8
EFR3B,L4IT,1.10107836480298e-9
EFR3B,L6b,1.17393721145632e-8
EFR3B,L6IT,4.66055601806177e-9
EGF,L5IT,1.4843221978315e-9
EGF,L6ITCar3,4.73778290141329e-10
EGFEM1P,L4IT,2.02624054493797e-8
EGFEM1P,L56NP,8.356028183434209e-19
EGFEM1P,L5ET,7.199750137808469e-13
EGFEM1P,L6CT,2.34043903196825e-9
EGFEM1P,L6IT,1.00470759621347e-10
EGFL6,L4IT,9.583257337858099e-12
EGFR,L23IT,6.44924621484837e-9
EHF,L5ET,1.32815640582661e-16
ELAVL2,L4IT,1.0201684058365801e-9
ELAVL2,L5ET,2.79964186702725e-9
ELAVL2,L6CT,4.7883736485241504e-14
ELF2,L56NP,9.80122670145563e-10
ELFN2,L4IT,1.2862493488932402e-9
ELFN2,L5IT,5.684580707726541e-9
ELFN2,L6IT,1.75815279871979e-8
ELL2,L4IT,9.673902137779839e-11
ELL2,L5ET,5.0409085950851104e-9
ELMO1,L4IT,4.0975741944879595e-12
ELN,L4IT,2.26823827889405e-10
ELN,L6ITCar3,4.03184587510778e-16
ELOVL3,L23IT,5.14955682394689e-10
ELOVL5,L4IT,1.0094902949891602e-9
EMID1,L5ET,1.67976254017118e-12
EML1,L5ET,1.2825388913779e-8
EML1,L6CT,1.23627742986121e-8
EML6,L56NP,2.2828251613325e-13
EMX1,L6IT,1.41261638885687e-8
EMX2,L4IT,1.0524832231521e-21
EMX2OS,L4IT,1.0517940218180299e-12
ENOX1,L23IT,2.39334420659771e-12
ENOX1,L4IT,3.05813628778247e-16
ENOX1,L56NP,2.99307888814194e-11
ENOX1,L5IT,9.68175004109237e-11
ENOX1,L6IT,3.44704832372747e-15
ENPEP,L5ET,5.5793078390370195e-12
ENTPD3,L23IT,2.3773655853449204e-9
ENTPD3,L4IT,4.1936604700981e-14
ENTPD3,L6ITCar3,3.13080750765131e-10
EPB41,L23IT,3.3958508537799704e-9
EPB41,L4IT,3.86445198607475e-13
EPB41,L5ET,1.0107937742000299e-11
EPB41,L5IT,3.75047018399569e-9
EPB41,Sst,5.87912884033298e-10
EPB41L2,L5ET,6.15260198109569e-10
EPB41L2,L6CT,1.04368423386276e-15
EPB41L2,L6IT,3.24692733606896e-8
EPB41L4A,L4IT,1.8744854596647402e-9
EPB41L4A,L56NP,1.02413606365664e-13
EPB41L4A,L6CT,2.82684616903906e-8
EPB41L4B,L23IT,1.8011134266675798e-11
EPHA1-AS1,L56NP,7.6752164142625e-14
EPHA10,L4IT,3.03531644539737e-8
EPHA3,L5IT,3.96427084987906e-8
EPHA3,L6IT,3.35897047677823e-11
EPHA4,L5ET,6.62767176808272e-10
EPHA4,Pvalb,3.80259381813742e-9
EPHA5,L4IT,3.18553451763603e-13
EPHA5,L5ET,1.80529263042107e-9
EPHA5,L5IT,1.00420487669599e-8
EPHA5-AS1,L4IT,1.4315333415889301e-9
EPHA6,L4IT,1.75332953785112e-8
EPHA6,L5ET,2.95015355926828e-9
EPHA6,L6CT,5.169061601585359e-19
EPHA7,L4IT,9.42336472637999e-9
EPHB6,L6CT,6.134255970643631e-9
EPHB6,L6IT,4.6367430809126895e-12
EPHX4,L6CT,7.406020158015631e-9
EPN2,L4IT,1.21620508586637e-8
EPN3,L5ET,1.94120009561546e-12
ERC2,L6IT,3.9210781763996406e-9
ERG,L5ET,6.6262265742377e-17
ERICH1-AS1,L5ET,2.92260939782284e-13
ERICH1-AS1,Pvalb,5.63412946923903e-11
ERICH3,L4IT,1.17142799182988e-8
ESAM,L5ET,1.0871336419236201e-9
ESR1,L5IT,1.23281158798125e-8
ESRRG,L4IT,3.97926853331341e-10
ESRRG,L5ET,9.310064555128121e-9
ESRRG,L5IT,1.7760521633739e-9
ESRRG,Pvalb,3.0198711746748504e-9
ETNK2,L5IT,2.81397142803386e-8
ETNK2,L6CT,3.45624729000214e-8
ETS1,Lamp5,5.254487046761791e-10
ETS2,L4IT,3.96141787971992e-8
EXOC4,L56NP,1.35492484946166e-8
EXOC4,L5IT,4.01314098945926e-10
EXOC6,L4IT,2.79901685031952e-13
EXOC6,L5ET,3.31899477007455e-8
EXT1,L5ET,2.3124376242536304e-9
EXT1,Pvalb,1.87241320649518e-9
EXTL2,L4IT,1.0681611780553801e-14
EXTL2,L56NP,3.09797793287738e-9
EXTL2,L5IT,6.99169507525695e-10
EXTL2,L6b,2.77041504545885e-8
EXTL2,L6CT,1.8125619510055601e-10
EYA4,L4IT,2.5992526521708798e-20
EYA4,L56NP,4.5257890843439795e-11
EYA4,L5ET,3.26473630923466e-13
EYA4,L5IT,3.6478107480193e-14
EYA4,Pvalb,3.11185997123162e-8
EYS,L23IT,2.98240723493279e-8
F11-AS1,L4IT,2.83911465168158e-15
FAM107A,L4IT,5.39599754914031e-10
FAM110B,L4IT,1.7803811148423402e-14
FAM110C,L23IT,1.21790969027362e-9
FAM110C,L4IT,1.1052293309104e-8
FAM110C,L5ET,4.4494436934260895e-11
FAM110C,L5IT,1.8645816372067902e-9
FAM110C,L6IT,5.791597010598221e-10
FAM114A1,L5ET,1.06676337815213e-8
FAM117A,L6IT,1.04473356620099e-8
FAM122C,L56NP,1.80885316708911e-8
FAM124A,L5ET,1.08147559015372e-9
FAM126A,L4IT,3.0081996063892e-9
FAM126A,L5IT,6.75986392456912e-13
FAM129A,L56NP,8.81899556811528e-10
FAM129A,L5IT,5.7548178063513e-12
FAM13A,L4IT,4.36466124587905e-12
FAM13A,L5ET,1.11410448075282e-14
FAM13B,L4IT,2.95229501398455e-8
FAM13C,L6CT,3.72020182432297e-8
FAM157B,Vip,5.07927981362659e-24
FAM160A1,L5ET,3.10111774379457e-14
FAM163A,L5IT,6.153873484190981e-9
FAM163B,L6CT,9.152148510241e-10
FAM180A,L6CT,8.85363920191159e-12
FAM189A2,L4IT,2.10423071422901e-10
FAM189A2,L5ET,8.76751379190681e-12
FAM196B,L5IT,1.92683711828669e-9
FAM198B,L6b,1.2100457103678e-8
FAM198B,L6CT,2.01083647027606e-9
FAM198B,Lamp5Lhx6,1.58624030932835e-8
FAM198B,Vip,2.86637324717293e-9
FAM19A1,L4IT,7.15837509348641e-13
FAM19A1,L6CT,1.84754714816845e-9
FAM19A1,L6IT,3.9237782670565803e-10
FAM19A1,L6ITCar3,2.6762559839579004e-16
FAM19A1,Vip,2.11003096446088e-8
FAM19A2,L56NP,3.22024509692666e-8
FAM19A2,L5ET,1.89206623943276e-8
FAM19A2,L5IT,1.0871713892628901e-9
FAM19A2,L6IT,7.605879046953909e-11
FAM19A2,L6ITCar3,2.4839160699805402e-15
FAM20C,Pvalb,2.00627133197335e-9
FAM210B,L6CT,2.4251930918326e-8
FAM212B,L4IT,8.481991687828691e-9
FAM217B,L6CT,3.41640437168315e-8
FAM46A,L6CT,2.1450623200708401e-10
FAM65B,L23IT,7.068658478608629e-12
FAM65B,L4IT,1.39839439040717e-8
FAM65B,L5ET,3.9334242448088e-14
FAM65B,L5IT,3.13199887875346e-13
FAM65B,L6CT,1.7303198351354201e-10
FAM65B,L6IT,8.26623463581379e-12
FAM65B,L6ITCar3,1.12993035023591e-9
FAM71F2,L5IT,2.40298175229717e-8
FAM71F2,L6IT,6.3678756521921e-11
FAM83B,L6b,1.3639682690393898e-11
FAM87A,L6IT,1.35208827105997e-8
FAM9B,L6CT,1.80338249699725e-13
FAP,L4IT,3.5821825762640603e-9
FAP,L6CT,8.74372829349412e-11
FAR2P2,L4IT,5.74113092955913e-12
FARP1,L5IT,4.11274127166955e-8
FARP1,L6b,1.91413049014837e-8
FARP1,L6CT,8.158246232732099e-12
FARP1,Pvalb,1.3059190491655799e-11
FARP1,Sst,1.03372202284113e-9
FARP2,L4IT,7.30234719553155e-10
FAT3,L6ITCar3,3.57896394000273e-9
FAT4,L4IT,1.1071107649278699e-19
FBLN2,L23IT,1.32162847643174e-8
FBLN2,L4IT,9.010613445107839e-12
FBLN2,L5IT,8.88996360522848e-9
FBLN5,L6CT,3.29132405198995e-8
FBXL2,L4IT,6.20218462726014e-14
FBXL2,L5IT,5.67125575708973e-10
FBXL21,L5IT,8.33445297359078e-9
FBXL21,L6ITCar3,6.68353909238082e-9
FBXO32,L4IT,7.19713114902686e-10
FER1L6-AS2,L56NP,3.7498224008738e-11
FER1L6-AS2,L5IT,3.0529502548097202e-9
FER1L6-AS2,L6ITCar3,1.33739081887723e-13
FERMT2,L23IT,1.3296798894333699e-12
FERMT2,L4IT,9.05265344688924e-13
FERMT2,L56NP,3.93413467156963e-12
FERMT2,L5ET,2.94693781073428e-9
FERMT2,L5IT,5.372925286081409e-11
FFAR4,L5ET,6.127955015289369e-11
FFAR4,L5IT,1.33108225182817e-9
FGF11,L5ET,1.6580856826216298e-12
FGF13,L23IT,4.83701070252471e-14
FGF13,L4IT,7.37575890452972e-14
FGF13,L6ITCar3,2.00681897948998e-8
FGF9,L4IT,7.12866277692074e-13
FGF9,L56NP,8.856117103979251e-9
FGF9,L6CT,3.3802414553223302e-9
FGFR1,L4IT,2.63058980172338e-11
FGFR1OP,L6ITCar3,1.01475933770024e-9
FGFR2,L4IT,3.66337935967202e-8
FGGY,L6IT,7.089917436522431e-10
FHDC1,L5ET,3.3369132885902503e-9
FHL2,L4IT,7.75222261419654e-9
FIGN,L4IT,1.99373048041351e-10
FKBP7,L5IT,2.3197643580015e-9
FLJ33581,L5ET,6.3441223909739406e-9
FLNA,L56NP,7.46771145316158e-10
FLNA,L5ET,1.9189317101781603e-9
FLNB,L5IT,2.61984813580216e-8
FLRT2,L4IT,1.43711620358062e-8
FLRT3,L4IT,7.23102661691925e-13
FLT3,L6CT,9.34427193770353e-11
FMN1,L5ET,3.29919845471997e-8
FNBP1L,Chandelier,3.36955623019095e-11
FNBP1L,L4IT,5.96684736637705e-10
FNBP1L,L5IT,1.3984207649514402e-9
FNBP1L,L6b,5.01858142054091e-9
FNBP1L,L6CT,1.12684879907254e-9
FNBP1L,L6ITCar3,6.02054144893417e-9
FNDC1,L4IT,4.07344759603184e-10
FNDC3A,L56NP,2.71437730664013e-10
FNDC3B,L4IT,3.55023861584468e-14
FNDC5,L23IT,1.11579191356565e-9
FOXF2,L5IT,3.9999339673551905e-9
FOXF2,L6IT,9.5119176588748e-11
FOXO1,L23IT,9.41523887845217e-10
FOXO1,L4IT,6.45986654236883e-10
FOXO1,L5ET,4.56641381161205e-11
FOXO1,Lamp5Lhx6,3.62769894843629e-12
FREM1,L5ET,4.02096091385857e-9
FREM1,L6b,7.59298997850713e-10
FREM1,L6CT,3.0493079617164796e-20
FREM1,L6ITCar3,2.31088614640935e-10
FREM2,L4IT,2.7663769876092998e-12
FREM2,L56NP,4.799370572648109e-11
FREM2,L5ET,6.00782323570133e-13
FREM2,L6ITCar3,1.0240863712324099e-11
FRMD3,L4IT,4.6480500629202906e-9
FRMD4A,L6b,1.2362106261588902e-9
FRMD4A,L6CT,2.39824849653274e-8
FRMD5,L4IT,3.3162917725439904e-9
FRMD5,L56NP,2.35560437779418e-10
FRMD5,L5IT,4.0036540274965e-8
FRMD6,L5ET,1.6422572107877199e-12
FRMD6,L6IT,1.3843691846375301e-9
FRMD6-AS2,L5ET,4.30792446773543e-9
FRMPD1,L4IT,4.22524488212723e-9
FRMPD1,L5ET,1.9090969058062402e-9
FSHR,L4IT,1.9649455677963e-11
FSTL1,Chandelier,4.271672350282451e-9
