cluster,gene,A1,ACC,ANG,DLPFC,M1,MTG,S1,V1
L2/3 IT_6,KIAA1211L,1.32564661872624,1.36377219177934,1.53942092332551,1.41483639429283,1.11531220537046,1.40190767029243,1.30407880875824,1.26699470083613
L2/3 IT_6,SERPINE2,0.962999059037986,0.601214176830089,0.973882419607813,0.854106580617511,1.0603987846671,0.938790177843949,1.02186333277346,0.722348499774218
L2/3 IT_6,LOC105376407,0.915782375972763,1.15590856375825,0.958997466313421,1.00588953691882,0.842278887807654,0.99187754389199,0.88754575348491,0.702222425597942
L2/3 IT_6,PTK2B,1.04863540413566,1.00152224025023,1.13626608975647,0.909541825771673,1.0197398713844,1.0917233682169,1.10253775230472,1.09917994175635
L2/3 IT_6,LINC01250,1.63316064457856,1.57911150715622,1.6287679811368,1.51620545126541,1.24688464526399,1.67327979286862,1.47434477032852,1.68273410560323
L2/3 IT_6,R3HDM1,1.43318251302701,1.46302063878787,1.5305189058826,1.60824188183587,1.61943203340914,1.47498251021292,1.62172064503639,1.50324452316314
L2/3 IT_6,COL24A1,0.823733081389332,1.26929373592681,1.02036228231621,0.938839025505187,0.927226746700998,1.02877857350916,0.800894975444201,0.46373670115891
L2/3 IT_6,LOC105371832,1.1323781830426,2.02487916622597,1.34552094802526,1.44424990575784,0.79935535294156,1.45013636689451,0.979961987987063,0.807360942930399
L2/3 IT_6,RFTN1,1.12035966397425,0.950422350142343,1.13747605048769,0.984969939452726,0.924350382180124,1.09580791982108,1.07748449994672,1.20714061978684
L2/3 IT_6,PDZD2,2.08450451605153,1.47198663142549,2.08198351061851,1.64481407077819,1.78619970002074,2.05892293462607,1.87510217606304,2.37634205617875
L2/3 IT_6,NWD2,0.889414498657084,0.995568021718544,0.957648352450447,0.769049628967812,0.610037163094994,1.05716057322476,0.657368966501591,1.08244565751347
L2/3 IT_6,NGEF,1.05409872537813,0.784554186164198,0.959207459257967,0.964721859033999,0.764720003974528,1.04100025700686,1.04720395967907,1.16454838289795
L2/3 IT_6,SV2B,1.25918855460951,1.27397107522541,1.44355092385398,1.34446246261308,1.25357549765935,1.35359383978243,1.23786614343682,0.987221728060791
L2/3 IT_6,NECAB1,1.34913920248597,1.21437275824111,1.580802578985,1.43335548735619,1.40757645053086,1.51531533693368,1.35934658538536,1.31561775560117
L2/3 IT_6,LINCR-0002,0.86611763823685906,0.742155725299104,0.946166752891321,0.534766933913803,NA,1.20563506652433,0.256804176011142,0.874586774684733
L2/3 IT_6,KCNIP4,1.73452575519775,1.94482811487737,1.83623748425011,1.85863629232408,1.7531070833444,1.87393486307541,1.77688450672034,1.52403168594461
L2/3 IT_6,HS6ST3,1.61715522141952,1.8410038048235,1.83043300721215,1.78947295805938,1.58508764594607,1.6821190930002,1.76032589855188,1.49915632141474
L2/3 IT_6,LDB2,1.64277138115569,1.8422141496122,1.85458599180795,1.788564567046,1.59283877929714,1.76630275060492,1.74496343202204,1.58023539096455
L2/3 IT_6,LRRTM4,1.42045447802328,1.57504067512788,1.66713397550732,1.61376320825917,1.56011471292101,1.56381038663251,1.48326124305952,1.73067973851299
L2/3 IT_6,DGKB,1.47062786797893,1.48687751101956,1.63812525864775,1.43797980218241,1.34652651063113,1.69389486612429,1.3585479524675,0.982051467936256
L2/3 IT_6,NRGN,1.30049290431571,1.12287260571942,1.42802476978776,1.16916163281835,0.852856680794131,1.43535908818125,1.0716266609463,1.13479423362796
L2/3 IT_6,KCTD1,1.24377674267447,1.05058047224551,1.34363876931821,1.26406868698791,1.12767650507764,1.2921717255301,1.17964805999569,1.26188756372735
L2/3 IT_6,FSTL4,1.31457916169282,1.45228081967991,1.32779447228538,1.31917632601415,0.720159781612801,1.50973073719405,1.01417508147689,1.01823002984741
L2/3 IT_6,SYN3,1.38551412940393,0.930787371712355,1.24197183245418,1.13703135094545,1.09914733514777,1.46265622645442,1.36812344011787,1.60043343206001
L2/3 IT_6,MBNL2,1.18512755287359,1.37286934859509,1.13276666858495,1.11534260357838,1.00214597415451,1.22162833218172,1.02562834699044,0.90184543660084
L2/3 IT_6,GLRA3,0.601807520135552,1.02553722067363,0.741640224647994,0.79899768424967,0.762370014707913,0.78965489703187,0.600428887138916,NA
