area,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DFC,LOC105369863,2.31E-05,0.299815673,0.881,0.852,1
DFC,RASGRF2,0.000103552,0.362900953,0.907,0.872,1
DFC,XIST,0.000250803,0.463652041,0.328,0.266,1
M1,CADM2,8.56E-114,0.758750558,1,1,4.31E-109
M1,SRSF5,2.51E-102,0.824077495,0.987,0.921,1.26E-97
M1,LOC284930,5.18E-83,1.228538884,0.919,0.518,2.60E-78
M1,LOC105369894,2.52E-82,0.71159199,0.854,0.383,1.27E-77
M1,SGCZ,9.83E-82,1.490384411,0.951,0.869,4.94E-77
M1,PLCB1,1.08E-78,0.580291589,1,0.999,5.43E-74
M1,ZNF385D,1.23E-78,1.029410822,0.903,0.543,6.17E-74
M1,LOC105369860,1.59E-78,1.101641052,0.804,0.35,8.02E-74
M1,KCNC2,5.96E-73,1.100397466,0.953,0.822,3.00E-68
M1,OSBPL3,6.26E-72,0.6696489,0.991,0.939,3.15E-67
M1,LOC105377180,6.46E-71,0.606443466,0.633,0.133,3.25E-66
M1,LAMA2,9.67E-69,1.332816881,0.79,0.385,4.86E-64
M1,PTPRK,6.02E-68,1.502007199,0.909,0.701,3.03E-63
M1,LOC101929352,6.21E-67,0.982990004,0.818,0.417,3.12E-62
M1,COL11A1,1.01E-66,0.789598113,0.859,0.447,5.08E-62
M1,VWC2,2.76E-65,1.07239174,0.823,0.471,1.39E-60
M1,PCDH9,5.33E-62,1.094955183,0.996,0.991,2.68E-57
M1,ZFPM2,8.66E-62,0.699823633,0.996,0.985,4.36E-57
M1,ATRNL1,1.31E-61,0.498639379,1,1,6.56E-57
M1,B3GALT1,8.24E-61,0.492786832,0.998,0.991,4.14E-56
M1,OR51E2,2.29E-60,0.686975767,0.691,0.244,1.15E-55
M1,NRG1,1.27E-59,0.627444079,1,1,6.39E-55
M1,LOC105373626,3.66E-57,0.501031921,0.624,0.166,1.84E-52
M1,ARHGAP10,1.16E-56,0.503687735,0.893,0.589,5.82E-52
M1,TRPM3,1.02E-55,0.891488777,0.946,0.706,5.13E-51
M1,MAGI2,3.87E-54,0.515347945,1,0.999,1.95E-49
M1,MAP2,6.88E-54,0.447090035,0.999,0.999,3.46E-49
M1,SYT1,7.15E-54,0.349935825,0.999,1,3.59E-49
M1,CNTNAP2,1.18E-53,0.616068316,1,1,5.92E-49
M1,ARPP21,1.34E-53,0.492016379,0.999,0.999,6.75E-49
M1,NRP1,8.71E-52,0.60548355,0.994,0.96,4.38E-47
M1,LOC105373627,6.80E-51,0.417271573,0.606,0.171,3.42E-46
M1,BRINP3,1.14E-50,0.878942707,0.966,0.874,5.75E-46
M1,MAML2,4.46E-50,0.809863441,0.834,0.538,2.24E-45
M1,GBE1,2.01E-49,0.497427876,0.894,0.696,1.01E-44
M1,SCN1A,3.55E-49,0.493214422,0.997,0.989,1.79E-44
M1,ZEB1,1.95E-48,0.572497973,0.994,0.978,9.80E-44
M1,MAST4,2.59E-48,0.481553158,0.997,0.996,1.30E-43
M1,BAALC,2.86E-48,0.534285868,0.987,0.973,1.44E-43
M1,TTC14,5.43E-48,0.393786694,0.981,0.968,2.73E-43
M1,SPOCK3,1.67E-47,0.741468257,0.733,0.385,8.40E-43
M1,LOC102724623,3.34E-47,0.662468337,0.986,0.921,1.68E-42
M1,KCNH7,8.81E-47,0.526486004,0.997,0.993,4.43E-42
M1,FMN1,1.14E-45,0.441822219,0.996,0.994,5.71E-41
M1,DPY19L2,1.80E-45,0.484440072,0.981,0.942,9.07E-41
M1,ANKRD26P3,2.73E-45,0.532312934,0.585,0.244,1.37E-40
M1,EPB41,1.03E-44,0.409960537,0.98,0.908,5.20E-40
M1,TMTC2,1.57E-43,0.701300294,0.996,0.976,7.87E-39
M1,ARSJ,2.11E-43,0.384617111,0.503,0.143,1.06E-38
M1,STXBP5-AS1,8.44E-43,0.51586763,0.989,0.937,4.24E-38
M1,EMB,2.04E-42,0.497084574,0.819,0.571,1.03E-37
M1,RORA,2.66E-42,0.718608938,0.993,0.973,1.34E-37
M1,SLC35F3,1.84E-41,0.421099015,0.997,0.996,9.27E-37
M1,GAS2,1.98E-41,0.49629403,0.972,0.909,9.94E-37
M1,HNRNPDL,2.05E-41,0.404869189,0.982,0.936,1.03E-36
M1,WSB1,3.00E-41,0.3776733,0.998,0.983,1.51E-36
M1,PNISR,3.02E-41,0.391400852,0.99,0.977,1.52E-36
M1,TMEFF2,3.58E-41,0.554731159,0.995,0.981,1.80E-36
M1,ULK3,4.48E-41,0.389339307,0.942,0.855,2.25E-36
M1,RELL2,1.10E-40,0.319184569,0.879,0.714,5.54E-36
M1,SRSF7,2.25E-40,0.553236726,0.983,0.91,1.13E-35
M1,CADPS2,2.62E-39,0.631463322,0.985,0.823,1.32E-34
M1,MIR4500HG,3.45E-39,0.750488805,0.852,0.646,1.73E-34
M1,MIR124-2HG,5.07E-39,0.325867224,0.996,0.981,2.55E-34
M1,DCC,7.59E-39,1.106740482,0.656,0.435,3.82E-34
M1,SLC2A13,3.53E-38,0.460204098,0.991,0.982,1.78E-33
M1,CDH7,3.95E-38,0.605743449,0.752,0.381,1.98E-33
M1,CCDC85A,5.94E-38,0.876992453,0.83,0.65,2.99E-33
M1,NAALAD2,9.04E-38,0.492190392,0.979,0.901,4.55E-33
M1,CDH12,1.49E-37,0.829285622,0.885,0.793,7.48E-33
M1,SLIT2,6.97E-37,0.665966122,0.988,0.985,3.50E-32
M1,OLFM3,1.61E-36,0.463898959,0.997,0.985,8.11E-32
M1,LOC440040,6.66E-36,0.482413052,0.987,0.968,3.35E-31
M1,GNAS,8.59E-36,0.436801154,0.983,0.93,4.32E-31
M1,ANKRD36C,1.78E-35,0.330568974,0.987,0.976,8.95E-31
M1,FGF12,2.22E-35,0.312622768,0.999,1,1.11E-30
M1,ROBO1,4.30E-35,0.88958558,0.988,0.946,2.16E-30
M1,LOC105376066,4.36E-35,0.403534616,0.998,0.991,2.19E-30
M1,ARAP2,2.09E-34,0.49511752,0.993,0.974,1.05E-29
M1,HOMER1,2.25E-34,0.578738202,0.998,0.997,1.13E-29
M1,GRIA2,2.78E-34,0.322793645,1,1,1.40E-29
M1,PPIP5K2,5.89E-34,0.456461359,0.986,0.957,2.96E-29
M1,ADGRG6,1.33E-33,0.439470916,0.542,0.214,6.68E-29
M1,CORO6,2.19E-33,0.324379286,0.957,0.915,1.10E-28
M1,LRP1B,3.81E-33,0.414036417,1,1,1.91E-28
M1,ADGRB3,4.01E-33,0.302848241,1,1,2.02E-28
M1,DDX60L,7.86E-33,0.27332814,0.594,0.268,3.95E-28
M1,NCKAP5,8.17E-33,0.807605195,0.859,0.797,4.11E-28
M1,FGF14,8.78E-33,0.300028751,1,1,4.42E-28
M1,C4orf22,2.09E-32,0.467768817,0.973,0.889,1.05E-27
M1,LINC01036,6.93E-32,0.286585484,0.322,0.048,3.49E-27
M1,PCDH15,1.11E-31,0.987899611,0.714,0.493,5.59E-27
M1,ROBO2,1.25E-31,0.337049535,1,1,6.28E-27
M1,LOC105374814,3.02E-31,0.272788023,0.581,0.247,1.52E-26
M1,KIAA1217,1.22E-30,0.567005866,0.964,0.922,6.12E-26
M1,LOC101928856,2.85E-30,0.328815267,0.457,0.164,1.43E-25
M1,ITGB1,3.56E-30,0.291686929,0.853,0.692,1.79E-25
M1,ZNF83,3.94E-30,0.32019764,0.869,0.721,1.98E-25
M1,CNTN4,5.06E-30,0.429089669,0.998,0.997,2.54E-25
M1,CKMT1B,6.59E-30,0.321004669,0.888,0.764,3.31E-25
M1,ACADVL,7.69E-30,0.303189252,0.871,0.697,3.87E-25
M1,EML6,1.30E-29,0.347173908,0.997,0.994,6.54E-25
M1,ETV1,1.47E-29,0.539679552,0.922,0.805,7.40E-25
M1,LOC105369890,1.56E-29,0.384754659,0.57,0.33,7.82E-25
M1,ATP2B1,1.75E-29,0.312228936,0.998,0.997,8.82E-25
M1,PTCHD4,3.34E-29,0.424249465,0.964,0.911,1.68E-24
M1,ESRRG,4.07E-29,0.375314757,0.998,0.998,2.04E-24
M1,SPAG16,6.85E-29,0.422465946,0.993,0.971,3.44E-24
M1,FLT3,7.64E-29,0.268545793,0.742,0.498,3.84E-24
M1,ANXA4,9.11E-29,0.394217198,0.962,0.905,4.58E-24
M1,COL5A2,1.63E-28,0.548704694,0.985,0.889,8.19E-24
M1,PPA2,1.99E-28,0.328387022,0.981,0.95,1.00E-23
M1,BTNL9,2.37E-28,0.460236833,0.529,0.307,1.19E-23
M1,EXTL2,3.46E-28,0.273364022,0.841,0.671,1.74E-23
M1,MCC,3.56E-28,0.413474349,0.584,0.335,1.79E-23
M1,CAPS2,5.75E-28,0.357625602,0.971,0.934,2.89E-23
M1,FHIT,8.70E-28,0.490583445,0.988,0.97,4.37E-23
M1,COLGALT2,9.16E-28,0.292121823,0.972,0.918,4.60E-23
M1,ZC3H12C,1.29E-27,0.382786785,0.925,0.808,6.49E-23
M1,DST,1.46E-27,0.262874994,0.999,0.998,7.33E-23
M1,CHORDC1,1.92E-27,0.291192197,0.913,0.811,9.63E-23
M1,LOC101929294,2.93E-27,0.449431664,0.905,0.78,1.47E-22
M1,NT5DC1,3.34E-27,0.380989573,0.964,0.908,1.68E-22
M1,NFKBIZ,5.34E-27,0.307937598,0.784,0.582,2.68E-22
M1,PAPPA,8.05E-27,0.370457736,0.829,0.552,4.05E-22
M1,CD47,8.11E-27,0.341097444,0.994,0.97,4.08E-22
M1,RAB24,9.48E-27,0.277832468,0.841,0.618,4.77E-22
M1,CNTN6,2.28E-26,0.545470156,0.923,0.846,1.15E-21
M1,PPARGC1A,3.17E-26,0.292641905,0.999,1,1.59E-21
M1,DIP2A,3.54E-26,0.337613312,0.98,0.948,1.78E-21
M1,NOX4,4.45E-26,0.735750818,0.586,0.326,2.24E-21
M1,SEPT4,6.53E-26,0.253198509,0.802,0.601,3.28E-21
M1,ABCA6,6.57E-26,0.324028192,0.903,0.815,3.31E-21
M1,ZNF804B,8.27E-26,0.58337496,0.99,0.987,4.16E-21
M1,ANKRD36,1.10E-25,0.289458605,0.992,0.976,5.54E-21
M1,CTTNBP2,1.48E-25,0.348430146,0.987,0.965,7.42E-21
M1,PIP4K2A,1.82E-25,0.343992948,0.962,0.902,9.15E-21
M1,FHOD3,2.10E-25,0.331438597,0.993,0.981,1.06E-20
M1,VPS13C,2.43E-25,0.286510231,0.985,0.969,1.22E-20
M1,HRH3,3.39E-25,0.2531331,0.669,0.462,1.71E-20
M1,CBLN2,3.95E-25,0.674309208,0.991,0.964,1.99E-20
M1,CUBN,5.71E-25,0.276223241,0.762,0.549,2.87E-20
M1,PTPRZ1,7.22E-25,0.337147665,0.779,0.575,3.63E-20
M1,ACTB,1.14E-24,0.318944297,0.955,0.824,5.72E-20
M1,FZD6,1.18E-24,0.269824211,0.841,0.69,5.95E-20
M1,VWC2L,1.33E-24,0.616210056,0.48,0.229,6.69E-20
M1,LINC01322,1.76E-24,0.542193009,0.914,0.83,8.87E-20
M1,PROS1,4.14E-24,0.443692202,0.939,0.821,2.08E-19
M1,C1orf56,4.85E-24,0.257211811,0.64,0.385,2.44E-19
M1,C22orf34,6.44E-24,0.378362209,0.469,0.177,3.24E-19
M1,TMEM161B-AS1,1.26E-23,0.280546744,0.998,0.993,6.33E-19
M1,SLC26A3,2.11E-23,0.272132941,0.953,0.822,1.06E-18
M1,EPS15,2.15E-23,0.262097791,0.892,0.77,1.08E-18
M1,MGAT5,2.88E-23,0.287847191,0.984,0.956,1.45E-18
M1,HMGN3,5.71E-23,0.31258331,0.954,0.871,2.87E-18
M1,REEP3,6.56E-23,0.294241283,0.932,0.88,3.30E-18
M1,ZNF804A,7.02E-23,0.669179169,0.914,0.855,3.53E-18
M1,DCLK1,7.17E-23,0.297726719,1,0.999,3.61E-18
M1,EIF4A2,9.70E-23,0.307325129,0.973,0.877,4.88E-18
M1,SPARCL1,1.13E-22,0.363811275,0.992,0.968,5.70E-18
M1,CCDC144CP,1.22E-22,0.302047974,0.879,0.781,6.13E-18
M1,OLFM1,1.71E-22,0.341693526,0.964,0.906,8.58E-18
M1,OSBPL6,1.71E-22,0.279918153,0.995,0.991,8.59E-18
M1,LOC105372733,1.71E-22,0.258610481,0.958,0.918,8.60E-18
M1,LIN7A,1.93E-22,0.393615298,0.903,0.788,9.68E-18
M1,ITGA7,2.53E-22,0.305965994,0.905,0.723,1.27E-17
M1,LRRFIP2,3.07E-22,0.261462197,0.979,0.96,1.55E-17
M1,PVRL3,3.19E-22,0.358182702,0.901,0.806,1.61E-17
M1,LINGO1,3.52E-22,0.252083263,0.988,0.977,1.77E-17
M1,RSRP1,3.91E-22,0.254790482,0.985,0.965,1.97E-17
M1,PDE7B,4.03E-22,0.671856777,0.628,0.41,2.03E-17
M1,MEF2A,4.84E-22,0.302358396,0.966,0.918,2.44E-17
M1,KCNJ3,7.35E-22,0.33132673,0.992,0.978,3.70E-17
M1,TPK1,9.26E-22,0.583910081,0.936,0.878,4.66E-17
M1,BBS9,9.50E-22,0.315215562,0.996,0.982,4.78E-17
M1,AFF1,1.14E-21,0.268749884,0.896,0.754,5.72E-17
M1,NTM,1.42E-21,0.345800867,1,1,7.14E-17
M1,NLGN1,1.74E-21,0.318433821,0.999,1,8.76E-17
M1,HNRNPA2B1,2.10E-21,0.25698043,0.964,0.914,1.06E-16
M1,LOC102724069,2.30E-21,0.282782963,0.846,0.721,1.16E-16
M1,LOC105369302,3.42E-21,0.281042839,0.798,0.548,1.72E-16
M1,DTNA,3.54E-21,0.252562603,0.998,0.996,1.78E-16
M1,ANGPT1,5.00E-21,0.474729714,0.766,0.509,2.52E-16
M1,MUM1L1,8.68E-21,0.281105881,0.589,0.364,4.36E-16
M1,LOC101927745,1.32E-20,0.416956458,0.964,0.737,6.66E-16
M1,CALD1,1.89E-20,0.287204407,0.946,0.87,9.52E-16
M1,PCP4,1.99E-20,0.453098138,0.869,0.721,1.00E-15
M1,LINC01158,2.88E-20,0.336628563,0.961,0.9,1.45E-15
M1,DNAI1,4.10E-20,0.281912122,0.864,0.732,2.06E-15
M1,IL1RAP,5.00E-20,0.26577844,0.747,0.512,2.51E-15
M1,NSF,5.21E-20,0.272286793,0.997,0.985,2.62E-15
M1,VPS13D,5.79E-20,0.27736796,0.99,0.988,2.91E-15
M1,LOC105374322,7.60E-20,0.32981757,0.399,0.18,3.82E-15
M1,LINC00922,8.06E-20,0.483930289,0.45,0.248,4.05E-15
M1,PPP2R2B,8.19E-20,0.251517974,0.996,0.997,4.12E-15
M1,DLG1,8.20E-20,0.311583382,0.996,0.992,4.12E-15
M1,C9orf72,8.93E-20,0.253632881,0.892,0.785,4.49E-15
M1,CSRNP3,1.19E-19,0.260023737,0.997,0.996,5.98E-15
M1,MGAT4C,1.20E-19,0.615283032,0.898,0.861,6.02E-15
M1,SAT1,1.55E-19,0.287543515,0.909,0.828,7.81E-15
M1,NR3C1,2.21E-19,0.325757877,0.983,0.973,1.11E-14
M1,CDH10,2.56E-19,0.373791212,0.909,0.879,1.29E-14
M1,MIPOL1,2.87E-19,0.291397075,0.982,0.961,1.44E-14
M1,SEMA3C,4.77E-19,0.293536835,0.527,0.281,2.40E-14
M1,TESPA1,4.82E-19,0.364998082,0.982,0.931,2.42E-14
M1,TDRD3,6.99E-19,0.264253558,0.971,0.932,3.52E-14
M1,NAALADL2-AS2,8.22E-19,0.345338767,0.346,0.086,4.13E-14
M1,CRISPLD1,9.35E-19,0.28762638,0.754,0.615,4.70E-14
M1,PHF20L1,9.75E-19,0.25174535,0.974,0.956,4.90E-14
M1,SATB2,1.11E-18,0.373815904,0.988,0.98,5.56E-14
M1,PAM,1.28E-18,0.3605668,0.994,0.987,6.43E-14
M1,ADAM23,1.38E-18,0.288862412,0.997,0.993,6.95E-14
M1,PLCL1,1.45E-18,0.409716604,0.903,0.836,7.30E-14
M1,ANKRD20A5P,1.91E-18,0.339000891,0.871,0.778,9.58E-14
M1,DENND1B,2.63E-18,0.295468698,0.985,0.961,1.32E-13
M1,LRRK2,3.01E-18,0.304710561,0.871,0.784,1.51E-13
M1,ABCA10,3.92E-18,0.287344227,0.939,0.875,1.97E-13
M1,TLE4,4.32E-18,0.283734586,0.794,0.664,2.17E-13
M1,LINC00836,4.36E-18,0.262547411,0.337,0.127,2.19E-13
M1,NR3C2,5.21E-18,0.340244031,0.99,0.983,2.62E-13
M1,LOC101927335,5.59E-18,0.488194963,0.382,0.195,2.81E-13
M1,TBRG1,1.02E-17,0.310394896,0.977,0.932,5.14E-13
M1,HS3ST5,1.27E-17,0.295963843,0.946,0.838,6.39E-13
M1,BCO2,1.41E-17,0.265967731,0.939,0.9,7.08E-13
M1,UNC13C,1.86E-17,0.330275178,0.943,0.889,9.33E-13
M1,ASPH,3.61E-17,0.362262438,0.955,0.919,1.82E-12
M1,GRIA4,6.41E-17,0.417859175,0.75,0.599,3.22E-12
M1,NCAM2,6.90E-17,0.267338289,0.998,0.994,3.47E-12
M1,TRDMT1,7.12E-17,0.258073661,0.933,0.855,3.58E-12
M1,TMEM132C,8.58E-17,0.315004745,0.855,0.663,4.32E-12
M1,KIF21A,9.73E-17,0.259797997,0.992,0.978,4.89E-12
M1,LOC105370303,1.09E-16,0.306979428,0.833,0.708,5.48E-12
M1,NRIP1,1.18E-16,0.303252672,0.95,0.905,5.95E-12
M1,PLOD2,1.26E-16,0.252994182,0.817,0.663,6.34E-12
M1,TCERG1,2.71E-16,0.266042203,0.964,0.925,1.36E-11
M1,LOC105375931,5.06E-16,0.646249889,0.399,0.234,2.55E-11
M1,CDH6,7.40E-16,0.295984707,0.896,0.828,3.72E-11
M1,USP24,8.20E-16,0.336610232,0.956,0.937,4.12E-11
M1,P3H2,1.18E-15,0.271440464,0.849,0.709,5.94E-11
M1,MEIKIN,1.32E-15,0.296758141,0.91,0.846,6.62E-11
M1,RERG,2.61E-15,0.265407639,0.811,0.666,1.31E-10
M1,SCARA3,7.02E-15,0.263361047,0.949,0.86,3.53E-10
M1,CEP85L,8.04E-15,0.264075783,0.986,0.971,4.04E-10
M1,HS6ST3,8.14E-15,0.357705305,0.977,0.961,4.09E-10
M1,LOC105377567,1.29E-14,0.413685556,0.979,0.957,6.48E-10
M1,LMO3,1.34E-14,0.261369866,0.98,0.967,6.75E-10
M1,LOC100507562,1.61E-14,0.42326278,0.194,0.065,8.12E-10
M1,ZEB2,2.68E-14,0.31116135,0.984,0.941,1.35E-09
M1,MIR181A1HG,4.59E-14,0.297461447,0.868,0.741,2.31E-09
M1,LOC101928383,4.81E-14,0.283577299,0.958,0.918,2.42E-09
M1,LINC01102,7.13E-14,0.326098102,0.812,0.616,3.59E-09
M1,HCN1,8.08E-14,0.268975552,0.999,0.998,4.06E-09
M1,KLF12,1.01E-13,0.316621836,0.861,0.709,5.08E-09
M1,SATB1,1.81E-13,0.256100934,0.946,0.923,9.10E-09
M1,NYAP2,2.89E-13,0.274712397,0.971,0.943,1.45E-08
M1,LOC101929680,3.19E-13,0.255463217,0.912,0.834,1.61E-08
M1,PARP8,3.37E-13,0.33501795,0.987,0.962,1.69E-08
M1,GRIN3A,3.88E-13,0.415694971,0.685,0.561,1.95E-08
M1,NHS,4.71E-13,0.283667483,0.731,0.625,2.37E-08
M1,ANKRD18DP,5.45E-13,0.314694993,0.745,0.592,2.74E-08
M1,PTPRM,8.85E-13,0.299062929,0.983,0.969,4.45E-08
M1,PCDH7,9.43E-13,0.254999806,0.998,0.998,4.74E-08
M1,MALAT1,2.37E-12,0.254979324,1,1,1.19E-07
M1,CHMP1B2P,2.38E-12,0.393230343,0.288,0.114,1.20E-07
M1,ZBTB20,2.61E-12,0.295693465,0.83,0.737,1.31E-07
M1,CAMK2D,3.10E-12,0.300911463,0.97,0.916,1.56E-07
M1,GOLGA8B,3.70E-12,0.261837029,0.963,0.95,1.86E-07
M1,TMX4,4.67E-12,0.262387448,0.935,0.891,2.35E-07
M1,ITGA8,6.04E-12,0.576325936,0.695,0.576,3.04E-07
M1,MYO3A,1.22E-11,0.260101079,0.612,0.451,6.12E-07
M1,LOC105378837,1.39E-11,0.396131946,0.571,0.46,7.01E-07
M1,PCDH11X,1.80E-11,0.344101687,0.622,0.496,9.05E-07
M1,LOC105377406,2.86E-11,0.389738211,0.289,0.137,1.44E-06
M1,LOC285692,1.70E-10,0.254866174,0.71,0.565,8.56E-06
M1,CDH20,3.58E-10,0.276294592,0.995,0.989,1.80E-05
M1,XIST,5.12E-10,0.371308116,0.441,0.235,2.57E-05
M1,NAALADL2,5.35E-10,0.339640292,0.969,0.945,2.69E-05
M1,LOC105375716,5.36E-10,0.382259778,0.459,0.339,2.69E-05
M1,PDE4B,6.65E-10,0.250109144,0.966,0.934,3.35E-05
M1,CSN1S1,9.92E-10,0.401021797,0.37,0.233,4.99E-05
M1,LOC105377177,5.27E-09,0.334718176,0.278,0.136,0.000264808
M1,LOC101928923,7.64E-09,0.839322328,0.656,0.628,0.000384369
M1,THSD4,8.56E-08,0.449106353,0.713,0.673,0.004305623
M1,SV2C,1.57E-07,0.40302546,0.682,0.564,0.007910718
M1,LOC105378030,2.42E-07,0.408322881,0.401,0.271,0.012173486
M1,LOC101928964,9.03E-07,0.597840012,0.736,0.715,0.045423808
M1,SEMA6D,3.36E-06,0.512835838,0.77,0.703,0.168919743
M1,LOC105378031,4.15E-06,0.566275221,0.434,0.318,0.2087555
M1,VAV3,6.43E-06,0.310941948,0.402,0.302,0.323526075
M1,LINC01060,7.90E-06,0.32253558,0.321,0.208,0.397366419
M1,EYS,8.29E-06,1.05209781,0.692,0.757,0.417056979
M1,UNC5D,9.47E-06,0.314465263,0.835,0.776,0.476088408
M1,NPAS3,1.82E-05,0.280693846,0.848,0.845,0.917004141
M1,ASTN2,2.23E-05,0.263184312,0.992,0.988,1
M1,LOC105378657,0.000287959,0.293350037,0.945,0.961,1
M1,LOC105371308,0.000922138,0.269545806,0.367,0.322,1
M1,CDH8,0.000922551,0.320366358,0.916,0.951,1
M1,LOC101929028,0.000993648,0.293104248,0.118,0.077,1
M1,LUZP2,0.002528552,0.725215593,0.719,0.8,1
S1,TRPM3,2.32E-52,0.959539041,0.953,0.72,1.17E-47
S1,CADM2,8.69E-50,0.404831097,1,1,4.37E-45
S1,LOC284930,1.16E-48,0.896788552,0.921,0.543,5.85E-44
S1,LOC105373626,4.65E-43,0.366154559,0.616,0.196,2.34E-38
S1,LOC105373627,1.17E-40,0.351416056,0.608,0.199,5.87E-36
S1,PTPRK,1.43E-40,0.995169914,0.952,0.708,7.17E-36
S1,PLCB1,1.08E-39,0.380992839,1,0.999,5.43E-35
S1,ARHGAP10,1.18E-39,0.424892903,0.922,0.604,5.93E-35
S1,LOC101929352,6.12E-35,0.621441448,0.783,0.448,3.08E-30
S1,KIAA1217,7.05E-35,0.673165178,0.967,0.924,3.54E-30
S1,EML6,3.47E-34,0.414814478,1,0.993,1.75E-29
S1,EPB41,4.39E-34,0.428626933,0.985,0.912,2.21E-29
S1,OSBPL3,9.03E-34,0.45728541,0.993,0.943,4.54E-29
S1,MIAT,6.86E-33,0.309990963,0.997,0.993,3.45E-28
S1,CADPS2,7.19E-33,0.734380569,0.993,0.832,3.62E-28
S1,LOC105369894,4.39E-32,0.392675548,0.79,0.422,2.21E-27
S1,MAML2,5.65E-32,0.72761197,0.833,0.557,2.84E-27
S1,KCNH1,1.86E-31,0.464154937,0.995,0.966,9.37E-27
S1,GRIK3,1.56E-30,0.355526027,0.961,0.851,7.85E-26
S1,NRG1,1.79E-30,0.413728614,1,1,9.01E-26
S1,PAPPA,2.92E-29,0.355685978,0.876,0.563,1.47E-24
S1,RBFOX3,4.73E-29,0.337704966,0.999,0.991,2.38E-24
S1,LOC102724623,5.71E-29,0.464317434,0.987,0.925,2.87E-24
S1,CRTAC1,1.17E-28,0.305717006,0.915,0.765,5.88E-24
S1,LAMA2,2.04E-28,0.825466678,0.736,0.418,1.02E-23
S1,RORA,6.05E-28,0.566564385,0.996,0.974,3.04E-23
S1,MGAT5,1.56E-27,0.472622892,0.991,0.957,7.82E-23
S1,ZNF385D,1.57E-27,0.438893669,0.859,0.572,7.89E-23
S1,CHST11,2.25E-27,0.372205457,0.97,0.85,1.13E-22
S1,C22orf34,1.10E-26,0.377278933,0.479,0.194,5.51E-22
S1,NCKAP5,1.52E-26,0.703011774,0.896,0.796,7.64E-22
S1,FLJ41278,4.95E-26,0.28482699,0.993,0.962,2.49E-21
S1,LOC105369860,2.55E-25,0.502981444,0.725,0.39,1.28E-20
S1,FHOD3,3.37E-25,0.373465316,0.995,0.981,1.69E-20
S1,LDLRAD4,4.41E-25,0.286851266,0.999,0.995,2.22E-20
S1,PCDH9,4.42E-25,0.549369506,0.998,0.991,2.22E-20
S1,BRINP3,1.10E-24,0.483349548,0.976,0.879,5.51E-20
S1,ST3GAL1,1.64E-24,0.3304738,0.991,0.936,8.22E-20
S1,SCN1B,5.52E-24,0.359771462,0.935,0.734,2.78E-19
S1,DPY19L1,7.21E-24,0.27251074,0.936,0.789,3.63E-19
S1,ATRNL1,8.56E-24,0.283894171,1,1,4.30E-19
S1,SGCZ,9.32E-24,0.546586134,0.951,0.874,4.69E-19
S1,BICD1,1.74E-23,0.274788665,0.999,0.995,8.73E-19
S1,PIP4K2A,2.67E-23,0.277542,0.969,0.904,1.34E-18
S1,SYT2,2.99E-23,0.403051552,0.873,0.648,1.50E-18
S1,NRP1,3.64E-23,0.416602023,0.999,0.962,1.83E-18
S1,LOC105374322,5.08E-23,0.285578847,0.452,0.186,2.55E-18
S1,ANXA4,8.80E-23,0.426067333,0.981,0.906,4.43E-18
S1,VWC2,2.09E-22,0.602148623,0.785,0.498,1.05E-17
S1,KLHL29,2.46E-22,0.341344914,0.997,0.975,1.24E-17
S1,GBE1,7.89E-22,0.292302102,0.899,0.708,3.97E-17
S1,CDH12,1.73E-21,0.537031111,0.908,0.796,8.67E-17
S1,TTC39C,2.57E-21,0.286158073,0.993,0.956,1.29E-16
S1,PCP4,3.45E-21,0.572554977,0.911,0.725,1.74E-16
S1,FMN1,7.27E-21,0.312875638,0.999,0.994,3.65E-16
S1,MAST4,1.17E-20,0.351020955,1,0.996,5.87E-16
S1,ANGPT1,1.47E-20,0.289865578,0.821,0.518,7.41E-16
S1,COL11A1,1.47E-20,0.329308949,0.797,0.482,7.41E-16
S1,SPARCL1,2.10E-20,0.40172044,0.998,0.968,1.05E-15
S1,B3GALT1,2.60E-20,0.259672956,0.998,0.992,1.31E-15
S1,LOC105377180,3.88E-20,0.293125399,0.5,0.183,1.95E-15
S1,MAGI2,8.94E-20,0.26726662,1,0.999,4.50E-15
S1,LOC101929294,1.37E-19,0.282141741,0.941,0.783,6.87E-15
S1,LOC105375716,2.00E-19,0.520693005,0.565,0.332,1.01E-14
S1,PPARGC1A,2.09E-19,0.251390949,1,1,1.05E-14
S1,NTM,4.90E-19,0.361655064,1,1,2.46E-14
S1,ZNF804B,6.56E-19,0.480451573,0.995,0.986,3.30E-14
S1,PHLPP1,7.35E-19,0.259756974,0.961,0.887,3.70E-14
S1,CDH7,7.59E-19,0.323349276,0.707,0.411,3.82E-14
S1,LINC01322,7.99E-19,0.530357207,0.952,0.83,4.02E-14
S1,SCN1A,9.37E-19,0.279301574,0.999,0.989,4.71E-14
S1,SRPK1,1.02E-18,0.277535161,0.993,0.963,5.10E-14
S1,GRAMD1B,1.16E-18,0.273789043,0.994,0.976,5.81E-14
S1,TMTC2,1.38E-18,0.474120202,0.997,0.977,6.93E-14
S1,VPS13D,1.84E-18,0.349725856,0.999,0.987,9.26E-14
S1,SPOCK3,2.15E-18,0.613052007,0.671,0.416,1.08E-13
S1,INADL,2.44E-18,0.286138167,0.987,0.969,1.22E-13
