p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
1.9592398965581e-294,2.91524959605684,0.998,0.648,9.851254124239621e-293,Oligo,PDE4B,V1
1.97303157162331e-293,1.50259729316154,0.518,0.062,9.92060004527967e-293,Oligo,HEPN1,V1
1.1063278390895e-294,2.66581991813234,0.942,0.376,5.562727007725909e-291,Oligo,PDE1C,V1
3.47289862684169e-293,2.10857468948773,0.832,0.21,1.74620815856227e-289,Oligo,DOCK1,V1
1.97270242909332e-293,2.61284444124951,0.826,0.25,9.91894508372411e-289,Oligo,CRYAB,V1
1.92616603899394e-289,2.5004097375777,0.976,0.469,9.68495546066544e-285,Oligo,DOCK10,V1
4.8490000179805e-285,1.28479700536589,0.44,0.045,2.43812569904078e-280,Oligo,SLC35D2,V1
1.65729916002498e-284,2.33709910465075,0.996,0.929,8.33306590652163e-280,Oligo,SIK3,V1
2.5788460094481298e-284,2.41150679652847,1,0.778,1.2966695620106098e-279,Oligo,FRMD5,V1
1.42256721273703e-282,2.74174752985512,0.946,0.464,7.15281020236307e-278,Oligo,GAB1,V1
1.8849527668666802e-282,2.45575567243406,0.988,0.832,9.47773100708234e-278,Oligo,MAP7,V1
8.92209375168918e-282,2.88654870284899,0.984,0.575,4.4861179592868403e-277,Oligo,TMTC2,V1
1.1585316239205799e-281,2.84784260896331,0.964,0.651,5.82521285823506e-277,Oligo,TMEM165,V1
1.43594768683227e-280,1.33760383088523,0.418,0.039,7.22008856416136e-276,Oligo,C5orf64,V1
3.6129135494782895e-280,2.79599272286357,0.97,0.571,1.8166090618131797e-275,Oligo,PLCL1,V1
5.22676446121015e-280,2.69458097128927,0.976,0.686,2.62806943874108e-275,Oligo,PDE8A,V1
1.25483877041287e-278,1.09434027672967,0.368,0.03,6.309454821512949e-274,Oligo,PLEKHB1,V1
5.04775587725816e-277,2.11877456291532,0.724,0.174,2.53806213264417e-272,Oligo,MYO1E,V1
7.446400637043751e-277,2.67165372770038,0.974,0.665,3.74412470431197e-272,Oligo,EDIL3,V1
9.19806466719399e-276,1.25361912278255,0.32,0.022,4.62487889531181e-271,Oligo,LOC105374213,V1
4.77321072444371e-272,1.13670578387838,0.394,0.035,2.4000180843575396e-267,Oligo,COL9A2,V1
5.24732630585312e-272,2.98854650056241,0.97,0.683,2.6384081398460095e-267,Oligo,PHLPP1,V1
1.24334460674105e-271,1.9919474496627,0.998,0.894,6.251661017154679e-267,Oligo,IL1RAPL1,V1
3.2416010522476795e-267,2.28490579582117,0.974,0.899,1.62990942508065e-262,Oligo,SEPT7,V1
6.245808346531389e-267,2.52007888888335,0.968,0.798,3.14045489471945e-262,Oligo,TTLL7,V1
4.69175975672928e-264,2.19236073105471,0.996,0.796,2.3590637232810499e-259,Oligo,SLC24A2,V1
7.05206237079345e-264,2.46470614101724,0.966,0.678,3.5458474806586497e-259,Oligo,KIAA1598,V1
1.37161525755053e-263,1.19748250253605,0.5,0.06,6.896618676489819e-259,Oligo,OLIG1,V1
7.793912282158799e-261,1.07702581603466,0.278,0.016,3.9188570345922696e-256,Oligo,LOC105374211,V1
2.87240657466105e-259,2.89696393706685,0.944,0.622,1.44427474980532e-254,Oligo,MAN2A1,V1
7.10611269210082e-259,2.68279529842624,0.956,0.701,3.57302452271521e-254,Oligo,ERBB2IP,V1
1.97139808054296e-257,2.5529032383138,0.832,0.325,9.912386688778031e-253,Oligo,CLDND1,V1
4.49631194783859e-257,2.77092026414604,0.938,0.602,2.2607906104927197e-252,Oligo,SLAIN1,V1
6.15707806225598e-257,2.37037538954687,0.984,0.854,3.0958404204829297e-252,Oligo,GPM6B,V1
1.28484114792554e-256,1.7073232403474,1,0.926,6.46030977588441e-252,Oligo,PCDH9,V1
6.36025876140849e-255,1.74700734475076,0.576,0.107,3.1980017078238e-250,Oligo,FAM124A,V1
2.78941486377515e-254,2.85900267474654,0.93,0.597,1.40254568765478e-249,Oligo,PRUNE2,V1
3.46625819033306e-254,2.35924669584974,0.98,0.693,1.7428692806813599e-249,Oligo,ELMO1,V1
8.44029727965532e-251,2.37451882743788,0.958,0.798,4.2438658751834896e-246,Oligo,FRYL,V1
1.92068569545905e-250,2.07338018067783,0.996,0.933,9.65739974533763e-246,Oligo,PPP2R2B,V1
1.568786335338e-249,2.21331574490343,0.97,0.848,7.888014572713e-245,Oligo,TRIM2,V1
1.5888642865742e-249,1.61432739854613,0.55,0.093,7.988968519323749e-245,Oligo,CLIC4,V1
8.3519942318882e-248,2.84783636884473,0.838,0.353,4.19946621973571e-243,Oligo,QDPR,V1
2.3490780458222397e-245,1.99782067536427,0.64,0.141,1.1811399322198797e-240,Oligo,CA2,V1
3.10996201654954e-244,1.52603389793871,0.53,0.087,1.56372000154128e-239,Oligo,CSRP1,V1
1.28357203283108e-243,2.19023762275942,0.74,0.216,6.45392853827794e-239,Oligo,GLDN,V1
3.31843724553997e-243,2.50515802748544,0.694,0.188,1.6685434314299497e-238,Oligo,PALM2,V1
1.67323786728608e-242,2.29142847625666,0.804,0.305,8.413207320501119e-238,Oligo,ABCA2,V1
6.099800940490069e-240,2.15274325481039,0.768,0.266,3.067040910887809e-235,Oligo,CNTN2,V1
3.8930256253088795e-234,1.4590883762966,0.546,0.096,1.9574522146615598e-229,Oligo,RGCC,V1
5.569985671284959e-234,2.52366094604473,0.9,0.554,2.8006444953787898e-229,Oligo,PXK,V1
6.946886103079739e-234,2.1498085337369,0.976,0.855,3.4929638014895196e-229,Oligo,TCF12,V1
9.475072408456508e-231,2.31420886025734,0.856,0.412,4.764161157696019e-226,Oligo,USP54,V1
6.4670723174273095e-229,2.03243885128444,0.974,0.492,3.25170863192563e-224,Oligo,SPOCK3,V1
7.451943487464519e-228,2.46053825962936,0.78,0.298,3.746911704932039e-223,Oligo,HHIP,V1
3.6996805702827397e-227,1.62174261382614,0.586,0.119,1.8602363875438596e-222,Oligo,ENOSF1,V1
7.27317501589976e-227,1.89195596676061,0.984,0.911,3.657025129744559e-222,Oligo,FMNL2,V1
4.194613246978549e-225,2.24897728274844,0.95,0.738,2.1090934867132797e-220,Oligo,DLG1,V1
3.7806697885561e-222,1.79791262756794,0.686,0.19,1.9009585763838894e-217,Oligo,PHLDB1,V1
2.0329346043647395e-217,1.82067031118883,0.69,0.199,1.0221798484206398e-212,Oligo,GPRC5B,V1
1.6513593232378496e-215,2.07415384163996,0.772,0.28,8.30319981317222e-211,Oligo,GSN,V1
1.3418679300512798e-213,1.91038383215271,0.946,0.496,6.74704613909086e-209,Oligo,PTPRK,V1
6.740354123760599e-211,2.31168695025661,0.856,0.488,3.3891174569680695e-206,Oligo,APLP1,V1
1.61713598832128e-209,2.09273619061198,0.906,0.485,8.13112146287821e-205,Oligo,GRM3,V1
4.0191399869959995e-209,1.73034519623118,0.96,0.915,2.0208637768614598e-204,Oligo,DNM3,V1
3.53719837174815e-208,1.24571110319472,0.38,0.049,1.7785387132986896e-203,Oligo,LRRC63,V1
1.1979532121246699e-207,1.04782393439123,0.302,0.028,6.023428545884058e-203,Oligo,VWA1,V1
1.31293284286737e-207,1.07684042992868,0.372,0.045,6.601557627221428e-203,Oligo,TSPAN15,V1
5.18392132001664e-206,1.09062145033276,0.368,0.044,2.60652747891757e-201,Oligo,NEK3,V1
5.774372442991059e-204,1.94235828386502,0.93,0.823,2.9034122080603397e-199,Oligo,DNAJC6,V1
6.49592372678893e-202,1.05469577955016,0.346,0.04,3.26621540906674e-197,Oligo,C21orf91,V1
6.9128707846549e-201,1.94272701752681,0.928,0.817,3.47586055923233e-196,Oligo,FUT8,V1
8.850339874500728e-199,1.17683855753145,0.354,0.042,4.45003939229771e-194,Oligo,LOC105374726,V1
5.2657037895601295e-198,1.8727903059883,0.936,0.838,2.64764852242873e-193,Oligo,DIP2B,V1
1.82738983206867e-197,1.57436282897954,0.606,0.145,9.18829881462449e-193,Oligo,TSC22D4,V1
1.7404977303071399e-196,2.0572950919098,0.926,0.739,8.75139663775733e-192,Oligo,SH3GL3,V1
2.9867896232716597e-194,1.04922762069237,0.3,0.03,1.5017876904772201e-189,Oligo,HSD17B3,V1
6.124959063916949e-193,1.76054451827418,0.93,0.842,3.07969066692808e-188,Oligo,SMA4,V1
1.49675520412772e-188,1.84656809580292,0.91,0.459,7.525834841874609e-184,Oligo,ALCAM,V1
1.9172771525127499e-187,1.63794739532344,0.472,0.089,9.64026125054935e-183,Oligo,LOC100287225,V1
3.5071196643022497e-187,1.74315011566163,0.908,0.816,1.7634148384078096e-182,Oligo,ATP8A1,V1
1.73577123669696e-186,1.65152366893536,0.966,0.794,8.727631355236e-182,Oligo,ZEB2,V1
2.4028715163067e-186,1.80822060108617,0.926,0.857,1.20818782711417e-181,Oligo,MAP4K4,V1
1.8467074590789397e-185,2.3310611967137,0.806,0.438,9.285429774994829e-181,Oligo,LAMP2,V1
3.84072544168358e-185,1.51393791856599,0.97,0.886,1.9311551593329203e-180,Oligo,AGAP1,V1
8.645860241724699e-184,1.78971935555276,0.922,0.789,4.3472249881415996e-179,Oligo,APBB2,V1
2.0653353133591396e-183,1.75344349450396,0.978,0.79,1.0384712489101099e-178,Oligo,ZBTB20,V1
4.4213327453608896e-183,1.71927947481372,0.972,0.797,2.22309031769491e-178,Oligo,PEX5L,V1
7.240027483839219e-182,2.13470460097059,0.824,0.46,3.6403582191492e-177,Oligo,HIPK2,V1
8.188469459987669e-182,1.62990455250273,0.934,0.874,4.117244329176399e-177,Oligo,ARHGAP21,V1
1.3125154592312e-181,1.95570198457131,0.89,0.661,6.599458980560379e-177,Oligo,SLCO3A1,V1
7.666310394177401e-181,1.69825463758329,0.98,0.646,3.85469752929634e-176,Oligo,MARCH1,V1
1.2752404057975402e-180,1.38456394788493,0.522,0.119,6.41203628439062e-176,Oligo,NDRG1,V1
4.69605507428281e-180,2.04528533242118,0.738,0.307,2.3612234519001398e-175,Oligo,MARCKSL1,V1
1.9188089961485698e-177,1.50130558514724,0.956,0.406,9.64796351353462e-173,Oligo,ZNF536,V1
4.74195053537789e-177,2.10894560388401,0.764,0.363,2.3843001486933597e-172,Oligo,SYNJ2,V1
1.5126064904362e-176,1.38282431450185,0.508,0.113,7.60553669456223e-172,Oligo,EFHD1,V1
2.5821036488135196e-176,2.05052034749286,0.842,0.504,1.2983075356599297e-171,Oligo,MYO1D,V1
2.76029658860623e-175,1.20028946608418,0.436,0.078,1.3879047277171e-170,Oligo,CYP27A1,V1
5.62574834271345e-175,1.95029653449253,0.876,0.735,2.8286825241997493e-170,Oligo,ZFYVE16,V1
5.314250003181369e-173,1.9947231090132,0.864,0.558,2.6720580440996196e-168,Oligo,ARAP2,V1
