p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,region
1.00382480408187e-123,1.09726268605767,0.891,0.291,5.04733149740404e-119,Lamp5_3,PMEPA1,A1
9.502376198181559e-122,1.33956107561323,0.964,0.311,4.7778897762076695e-117,Lamp5_3,NXPH2,A1
6.52667336407109e-120,1.50990213177456,0.995,0.814,3.28167663418858e-115,Lamp5_3,RIMBP2,A1
6.9060024886149e-120,1.5677475564018,0.995,0.445,3.47240711130046e-115,Lamp5_3,ADRA1A,A1
7.26339140787404e-120,1.71737206886537,1,0.532,3.65210583379315e-115,Lamp5_3,DOCK10,A1
4.9329540471818e-116,1.35228965271794,1,0.919,2.4803386244634804e-111,Lamp5_3,NEBL,A1
1.11289146457493e-115,1.54915036501156,1,0.865,5.5957295730291905e-111,Lamp5_3,PRKCB,A1
1.11456737731014e-115,1.6933755053336501,1,0.895,5.6041562298531105e-111,Lamp5_3,B3GALT1,A1
1.5356988574267e-113,1.60246494126659,0.986,0.74,7.7216474250271795e-109,Lamp5_3,ABI1,A1
2.32665524232084e-113,1.14022869880942,0.905,0.303,1.16986552239134e-108,Lamp5_3,GOLIM4,A1
9.141397877075519e-112,1.65058194450339,1,0.882,4.5963862665723387e-107,Lamp5_3,EXT1,A1
1.98647899865848e-111,1.11361102908973,0.977,0.364,9.988215053154717e-107,Lamp5_3,TOX2,A1
6.601351405836159e-109,1.53969885241607,1,0.751,3.31922550036848e-104,Lamp5_3,DNER,A1
1.05356497855943e-105,1.61865914579217,1,0.794,5.2974300686946797e-101,Lamp5_3,GRIA4,A1
4.6565260766377996e-104,1.53960099146676,1,0.599,2.34134787659425e-99,Lamp5_3,CCDC85A,A1
6.19542890251013e-102,1.40961303883441,1,0.646,3.11512360647112e-97,Lamp5_3,SGK1,A1
2.61598319794856e-99,1.38013733112859,1,0.841,1.3153425117605098e-94,Lamp5_3,RAB3C,A1
4.0513491891883696e-99,1.1907065368913,0.995,0.61,2.0370588858158e-94,Lamp5_3,MPPED1,A1
5.11622614776742e-99,1.04557675423492,1,0.963,2.57248966935894e-94,Lamp5_3,GRIA2,A1
6.770836118638549e-98,1.38136676098656,0.995,0.653,3.40444410881265e-93,Lamp5_3,PIP5K1B,A1
1.1192586757511899e-97,1.44031174189752,0.982,0.462,5.62774454754458e-93,Lamp5_3,DLX6-AS1,A1
1.56795416748307e-97,1.18750423784447,0.991,0.47,7.88383034952165e-93,Lamp5_3,BCL11B,A1
2.39468414780215e-96,1.4726459806371,1,0.644,1.2040711363564e-91,Lamp5_3,PTCHD4,A1
3.19910010281003e-96,1.47539437979894,1,0.765,1.60853952269391e-91,Lamp5_3,PTPRM,A1
3.655735266583599e-96,1.33724840704661,1,0.906,1.8381402493909e-91,Lamp5_3,PBX1,A1
9.51427919527258e-96,1.1350145907166,1,0.893,4.7838747221750097e-91,Lamp5_3,CSMD3,A1
4.217185837872579e-95,1.46283139780142,1,0.645,2.12044321114071e-90,Lamp5_3,CNTNAP4,A1
5.9100723410204886e-95,1.37033115912064,0.995,0.796,2.97164347378851e-90,Lamp5_3,SPOCK1,A1
8.144793608517588e-95,1.58966860762474,1,0.648,4.09528367429873e-90,Lamp5_3,PTPRT,A1
1.1036756096275098e-94,1.10483270336274,1,0.962,5.54939133276811e-90,Lamp5_3,IL1RAPL1,A1
1.95959998715115e-93,1.12142718840626,0.991,0.624,9.853064695394707e-89,Lamp5_3,RPH3A,A1
2.73882011887718e-91,1.46396316492146,1,0.795,1.37710614397263e-86,Lamp5_3,MGAT4C,A1
4.8299695756977696e-91,1.00903619501783,0.927,0.459,2.4285570023566e-86,Lamp5_3,HOMER2,A1
1.5117100843030197e-89,1.39257293356913,1,0.637,7.601029474883991e-85,Lamp5_3,RBMS3,A1
4.7043909317344594e-89,1.25691759891099,1,0.903,2.3654148043853998e-84,Lamp5_3,GRIP1,A1
8.432145438584728e-89,1.35198458812946,0.991,0.547,4.239767047974789e-84,Lamp5_3,PRR16,A1
9.61795064671535e-88,1.10527084754794,0.923,0.441,4.83600176467494e-83,Lamp5_3,DNAH6,A1
4.23264187190665e-87,1.18809976372867,0.982,0.704,2.12821465961338e-82,Lamp5_3,MPP6,A1
6.335820561112841e-85,1.2831855178184,1,0.789,3.18571393633315e-80,Lamp5_3,DGKB,A1
3.0757879218289496e-84,1.32123634856031,1,0.819,1.54653692497481e-79,Lamp5_3,CNTN5,A1
1.1435466775940798e-83,1.05821454531239,0.964,0.418,5.74986704961079e-79,Lamp5_3,MAML3,A1
4.08359931578841e-83,1.26646826025298,0.995,0.779,2.0532745719715699e-78,Lamp5_3,MCTP1,A1
5.09293244482926e-83,1.26355186207248,1,0.793,2.5607773625846e-78,Lamp5_3,KCNAB1,A1
2.1351368190013e-82,1.36942214074783,0.995,0.593,1.0735681439620399e-77,Lamp5_3,PLD5,A1
3.61456429887988e-81,1.08888582592421,0.995,0.796,1.8174390751197897e-76,Lamp5_3,MTSS1,A1
2.23597644799274e-80,1.08049037412851,0.777,0.29,1.1242713178152298e-75,Lamp5_3,LOC101927613,A1
1.3870060093347602e-79,1.03403110405794,0.973,0.464,6.974004915536101e-75,Lamp5_3,UTRN,A1
2.4114629837429103e-79,1.10407384069815,1,0.951,1.21250770285577e-74,Lamp5_3,MACROD2,A1
1.1269077024042498e-78,1.3250161237469,1,0.797,5.66620461845882e-74,Lamp5_3,UNC5D,A1
1.5628548065639099e-78,1.43975446030969,1,0.773,7.85819025288399e-74,Lamp5_3,SOX2-OT,A1
3.4989276682787096e-78,1.19042694628909,1,0.683,1.75929582088722e-73,Lamp5_3,ZMAT4,A1
9.37392674312705e-77,1.20853470280986,1,0.622,4.713304105711709e-72,Lamp5_3,KCNIP1,A1
9.947122724064339e-77,1.08323599813012,0.982,0.594,5.00151277688679e-72,Lamp5_3,IGSF11,A1
6.44874589184769e-76,1.00908703074831,1,0.699,3.24249392187994e-71,Lamp5_3,GALNT18,A1
1.9342298906387297e-75,1.12875511667704,0.627,0.181,9.725501313120569e-71,Lamp5_3,COL5A2,A1
6.6087309381654e-74,1.17493291574689,1,0.559,3.32293600301894e-69,Lamp5_3,ZNF536,A1
5.68546084181441e-73,1.17822906792094,1,0.785,2.8587065658727003e-68,Lamp5_3,TMEM132D,A1
6.96277114605177e-73,1.01660603917659,1,0.956,3.5009509599462902e-68,Lamp5_3,CTNNA2,A1
2.52676230245092e-72,1.00412892288994,0.991,0.661,1.2704813532953501e-67,Lamp5_3,FAM110B,A1
8.552384154685669e-72,1.10862428273327,0.955,0.449,4.3002242768175e-67,Lamp5_3,GRM8,A1
3.9806094513787396e-71,1.03295348176015,0.932,0.421,2.00149023824774e-66,Lamp5_3,KCNH5,A1
1.46144470264674e-70,1.48102546822261,0.986,0.635,7.3482901093781e-66,Lamp5_3,FSTL5,A1
1.44650763679714e-68,1.36235560341744,1,0.734,7.27318504857969e-64,Lamp5_3,ERBB4,A1
7.909801697999801e-68,1.02190256005006,1,0.856,3.97712739177128e-63,Lamp5_3,KCNC2,A1
2.23243356450962e-59,1.00003376384969,0.995,0.743,1.1224899205710799e-54,Lamp5_3,NETO1,A1
4.47259582198432e-53,1.19062772796411,0.986,0.704,2.2488659052519398e-48,Lamp5_3,GALNTL6,A1
1.7466226599438803e-52,1.06620252356408,1,0.459,8.78219339646381e-48,Lamp5_3,NXPH1,A1
1.04855973893827e-39,1.15569331708389,0.786,0.373,5.272263223355519e-35,Lamp5_3,SLC6A1-AS1,A1
0,3.80828667889166,1,0.268,0,Pax6_2,RELN,A1
0,3.01385207250676,0.994,0.274,0,Pax6_2,CXCL14,A1
0,2.30705240188358,1,0.387,0,Pax6_2,IL1RAPL2,A1
0,2.2393737763569,0.978,0.149,0,Pax6_2,DDR2,A1
0,1.83212962714748,0.872,0.066,0,Pax6_2,LOC101927870,A1
0,1.75619695557691,0.972,0.247,0,Pax6_2,CHRNA7,A1
0,1.73331918556541,0.959,0.171,0,Pax6_2,WIF1,A1
0,1.69278189120729,0.92,0.179,0,Pax6_2,CRH,A1
0,1.21750545484216,0.965,0.222,0,Pax6_2,FBXL7,A1
0,1.04496175134397,0.794,0.056,0,Pax6_2,SP8,A1
0,1.03624002380742,0.76,0.122,0,Pax6_2,ZNF385D-AS2,A1
0,1.01883260924534,0.768,0.128,0,Pax6_2,LINCR-0003,A1
1.13761756738147e-293,1.52072922306122,0.961,0.332,5.72005489055076e-293,Pax6_2,SDK2,A1
1.72482688575533e-293,2.1139529396132,1,0.407,8.6726020645796e-294,Pax6_2,MYO16,A1
1.25762246390594e-293,1.6094662397964,0.983,0.367,6.32345151068144e-293,Pax6_2,GREB1L,A1
2.85211071561606e-289,2.03881174929301,1,0.561,1.4340697889189098e-284,Pax6_2,CDH4,A1
3.710488018293179e-287,2.16870781097736,1,0.558,1.865670480478e-282,Pax6_2,SORCS3,A1
1.7027230029515898e-274,2.14130325330713,1,0.397,8.561461531140871e-270,Pax6_2,ADARB2,A1
6.84797275700294e-268,2.18334522863093,0.996,0.476,3.44322918194865e-263,Pax6_2,CNR1,A1
2.7343214056279696e-267,1.35463631895346,0.974,0.283,1.3748441459638e-262,Pax6_2,NR2F2-AS1,A1
2.97751850929074e-264,1.59738307147338,0.987,0.394,1.4971260816564798e-259,Pax6_2,SLC35F4,A1
5.3254205051424805e-264,1.49373194461784,0.981,0.385,2.6776746841906897e-259,Pax6_2,AP1S2,A1
5.72764380032747e-257,2.86021666527682,0.996,0.582,2.87991657924266e-252,Pax6_2,CCK,A1
4.41788800475883e-246,1.75373090582925,0.996,0.596,2.2213582676727894e-241,Pax6_2,CCDC85A,A1
6.055801083061369e-245,1.98741733946955,0.983,0.479,3.0449173425740896e-240,Pax6_2,ALK,A1
2.6097387356561597e-238,1.50987084026588,0.978,0.415,1.31220273367527e-233,Pax6_2,MAML3,A1
1.9303256348792995e-236,1.53333918911271,0.991,0.762,9.705870324736598e-232,Pax6_2,HMBOX1,A1
2.4280184252650397e-236,1.71874311140814,1,0.635,1.2208319444075097e-231,Pax6_2,RBMS3,A1
1.13517706297017e-233,1.16035533747826,0.948,0.309,5.7077837903203296e-229,Pax6_2,MAML2,A1
1.42642434136326e-230,1.02037574297134,0.879,0.27,7.172204230808618e-226,Pax6_2,ITGB8,A1
4.363701326748689e-225,1.1062983837276,1,0.963,2.1941126641025097e-220,Pax6_2,GRIA2,A1
4.474091697142279e-225,1.55449707956989,1,0.895,2.2496180462401095e-220,Pax6_2,B3GALT1,A1
5.636909634813799e-211,1.56355793624369,0.998,0.566,2.83429453348073e-206,Pax6_2,SEMA6D,A1
2.5881809430626497e-210,1.65571368362622,0.998,0.591,1.3013632599813297e-205,Pax6_2,PLD5,A1
1.6251806451549397e-199,1.44673940646848,0.991,0.648,8.171570801903579e-195,Pax6_2,SEZ6L,A1
2.74773302236803e-193,1.60903645978885,1,0.797,1.3815876409768698e-188,Pax6_2,ZNF385D,A1
8.34301663595091e-178,1.25772883911956,1,0.788,4.19495219472248e-173,Pax6_2,DGKB,A1
5.885416297091539e-177,1.16714123552496,0.996,0.755,2.959246168340599e-172,Pax6_2,GABRA1,A1
3.7017890387805794e-176,1.08089106613264,1,0.834,1.8612965465892594e-171,Pax6_2,CHL1,A1
3.73677010447841e-174,1.23368259242798,1,0.94,1.87888537623279e-169,Pax6_2,GRIK2,A1
9.46083992115518e-174,1.05668410754919,0.978,0.66,4.75700492075604e-169,Pax6_2,WWP1,A1
2.2706024160835297e-172,1.17504091104698,1,0.897,1.1416816008309598e-167,Pax6_2,ENOX1,A1
4.68563953267584e-172,1.27416024249492,1,0.713,2.35598641342474e-167,Pax6_2,SHISA9,A1
4.9001565092686897e-172,1.4295606721426,1,0.818,2.4638476944253897e-167,Pax6_2,CNTN5,A1
