Species,Stephan_column,EvoM1_variable,Stephan_value,status,unit_rescale_flag,closest_nonmatching,all_matching_sources,metadata_reference
Hylobates_muelleri,Brain_mass,Brain_Mass.mg,101800.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1,Bauernfeind et al 2013
Hylobates_muelleri,Brain_weight,Brain_Mass.mg,101800.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Indri_indri,Brain_mass,Brain_Mass.mg,33700.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Leontopithecus_rosalia,Brain_mass,Brain_Mass.mg,12700.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Leontopithecus_rosalia,Brain_weight,Brain_Mass.mg,12700.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Lophocebus_albigena,Brain_mass,Brain_Mass.mg,110500.0,resolved_multiple,1000,,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1,Bauernfeind et al 2013
Loris_tardigradus,Brain_mass,Brain_Mass.mg,6900.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Macaca_maura,Brain_mass,Brain_Mass.mg,83300.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Macaca_maura,Brain_weight,Brain_Mass.mg,83300.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
Pan_paniscus,Brain_mass,Brain_Mass.mg,352000.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Bauernfeind et al 2013
Pan_paniscus,Brain_weight,Brain_Mass.mg,352000.0,resolved_unique,1000,,Bauernfeind_etal_2013_Table1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013
