Structure,Model,lambda,95% CI min,Predicted,95% CI max,Observed,Diff.min,Diff.pre,Diff.max,N,rCMRGlc,config,run_tag
Nucleus subthalamicus Luysi,Brownian (BM),1,208.56,272.37,355.69,469,0.555305451946382,0.41925846140856204,0.241590129400719,13,25.2,merged_all_anthro,merged_all_anthro
Nucleus subthalamicus Luysi,Pagel's lambda (ML),1.21,115.86999999999999,218.02,410.24,469,0.7529448195988172,0.535130897254754,0.12528333817470103,13,25.2,merged_all_anthro,merged_all_anthro
Capsula interna,Brownian (BM),1,3034.9,3559,4173.5,7008,0.566938693042658,0.492156572810151,0.40446088718488016,13,25.5,merged_all_anthro,merged_all_anthro
Capsula interna,Pagel's lambda (ML),-0.344,1.0439999999999999e-57,1.2539e-57,1.506e-57,7008,1,1,1,13,25.5,merged_all_anthro,merged_all_anthro
Striatum,Brownian (BM),1,8168.3,10742,14128,28689,0.715279692159955,0.6255578641926368,0.5075626528658179,26,36.3,merged_all_anthro,merged_all_anthro
Striatum,Pagel's lambda (ML),0.802,10006,13554,18362,28689,0.651234792011984,0.527541934965123,0.359980244290393,26,36.3,merged_all_anthro,merged_all_anthro
Area striata grey,Brownian (BM),1,8877.8,12115,16532,15464,0.4258868977647672,0.21655836566736805,-0.06909386324073169,25,35.8,merged_all_anthro,merged_all_anthro
Area striata grey,Pagel's lambda (ML),1.03,8893.5,11944,16041,15464,0.4248740412414401,0.22758923180988502,-0.0373699634491845,25,35.8,merged_all_anthro,merged_all_anthro
Neocortex grey,Brownian (BM),1,785340,1023500,1333800,574360,-0.36733792850709696,-0.7819655562311569,-1.3223236753632799,15,33.5,merged_all_anthro,merged_all_anthro
Neocortex grey,Pagel's lambda (ML),-1.1800000000000002,8300100,9142600,10071000,574360,-13.4511294675074,-14.918001945270497,-16.533770387937796,15,33.5,merged_all_anthro,merged_all_anthro
Mesencephalon,Brownian (BM),1,2976.5,3323,3709.8,8087,0.6319446125037412,0.589095378186202,0.541257609686107,26,25.3,merged_all_anthro,merged_all_anthro
Mesencephalon,Pagel's lambda (ML),-0.20600000000000002,27160,30746,34804,8087,-2.35850705803848,-2.801852820708559,-3.3037232378994803,26,25.3,merged_all_anthro,merged_all_anthro
Cerebellum,Brownian (BM),1,53888,67066,83468,136800,0.6060910065047982,0.509760506506821,0.38987236912788115,28,29.8,merged_all_anthro,merged_all_anthro
Cerebellum,Pagel's lambda (ML),1.05,52301,64328,79122,136800,0.6176956946268402,0.529776284185822,0.4216378424033949,28,29.8,merged_all_anthro,merged_all_anthro
Hippocampus,Brownian (BM),1,2034.4,3051.4,4576.6,10287,0.802238611991304,0.7033880951238679,0.55512740378633,27,25.7,merged_all_anthro,merged_all_anthro
Hippocampus,Pagel's lambda (ML),0.9500000000000001,2052.9,3146.1,4821.3,10287,0.800442549310383,0.6941820610291819,0.5313399150311701,27,25.7,merged_all_anthro,merged_all_anthro
Nucleus dentatus cerebelli,Brownian (BM),1,725.13,955.66,1259.5,1166.9,0.378587410551063,0.181030167810572,-0.07933375896223913,24,24.2,merged_all_anthro,merged_all_anthro
Nucleus dentatus cerebelli,Pagel's lambda (ML),0.994,722.97,954.92,1261.3,1166.9,0.38043214166692196,0.18165693605410999,-0.0808910780331751,24,24.2,merged_all_anthro,merged_all_anthro
