Species,Stephan_column,Stephan_value,candidate_reference,candidate_source,candidate_variable,candidate_value,candidate_year,search_tier,tier_rank,match_quality,pct_difference,scale,prior_contributions,candidate_file,candidate_sheet,candidate_cell,evidence_context,structure_context_match
Cebus_albifrons,ASG_Sousa,3764,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,Area_striata_grey_matter_Vol.mm3,3764,2017,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,ASG_Sousa,3764,Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Area_striata_grey_matter_Vol.mm3,3764,1998,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,ASG_Sousa,3764,Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,3764,1984,evom1_all_volume_tables,3,near_perfect,0,1,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Area_striata_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Corpus.subcommissurale,0.43,Stephan_etal_1981_TableXVI,Stephan_etal_1981_TableXVI,Corpus_subcommissurale_Vol.mm3,0.425,1981,metadata_tables,1,close_same_structure,1.1627906976744196,1,103,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Corpus_subcommissurale_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Frontal.motor.Gray,1.98,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,FrontalMotor_grey_matter_Vol.mm3,1977,2017,metadata_tables,1,near_perfect,0.15151515151514605,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=FrontalMotor_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Frontal.motor,1.43,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,FrontalMotor_white_matter_Vol.mm3,1425,2017,metadata_tables,1,near_perfect,0.3496503496503422,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=FrontalMotor_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Primary.visual.White.Smaers,0.94,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,Area_striata_white_matter_Vol.mm3,939,2017,metadata_tables,1,near_perfect,0.10638297872339254,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=Area_striata_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Primary.visual.White.Smaers,0.94,Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,939,1984,evom1_all_volume_tables,3,near_perfect,0.10638297872339254,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=Area_striata_white_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Prefrontal.Gray,1.43,Smaers_etal_2017_TableS1part1,Smaers_etal_2017_TableS1part1,PrefrontalCortex_grey_matter_Vol.mm3,1434,2017,metadata_tables,1,near_perfect,0.2789400278940031,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/Smaers_etal_2017_TableS1part1.csv,,,Species=Cebus albifrons; Variable=PrefrontalCortex_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
Cebus_albifrons,Prefrontal.Gray,1.43,Smaers_etal_2011_SupplementaryTable2,Smaers_etal_2011_SupplementaryTable2,PrefrontalCortex_grey_matter_Vol.mm3,1430,2011,evom1_all_volume_tables,3,near_perfect,0,0.001,0,/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__merging_volumes/volumes_unfiltered.csv,,,Species=Cebus albifrons; Variable=PrefrontalCortex_grey_matter_Vol.mm3; key_rule=crosswalk_exact,TRUE
