"Species","on_tree","in_Stephan","in_volumes_wide","Preferred_brain_volume_Stephan","Preferred_brain_volume_volumes_wide","Preferred_brain_volume_pct_diff","Preferred_brain_volume_status","Corpus_geniculatum_laterale_Stephan","Corpus_geniculatum_laterale_volumes_wide","Corpus_geniculatum_laterale_pct_diff","Corpus_geniculatum_laterale_status","Amygdala_Stephan","Amygdala_volumes_wide","Amygdala_pct_diff","Amygdala_status","Pallidum_Stephan","Pallidum_volumes_wide","Pallidum_pct_diff","Pallidum_status","Neocortex_white_Stephan","Neocortex_white_volumes_wide","Neocortex_white_pct_diff","Neocortex_white_status","Insular_cortex_grey_Stephan","Insular_cortex_grey_volumes_wide","Insular_cortex_grey_pct_diff","Insular_cortex_grey_status","Nucleus_subthalamicus_Luysi_Stephan","Nucleus_subthalamicus_Luysi_volumes_wide","Nucleus_subthalamicus_Luysi_pct_diff","Nucleus_subthalamicus_Luysi_status","Capsula_interna_Stephan","Capsula_interna_volumes_wide","Capsula_interna_pct_diff","Capsula_interna_status","Striatum_Stephan","Striatum_volumes_wide","Striatum_pct_diff","Striatum_status","Area_striata_grey_Stephan","Area_striata_grey_volumes_wide","Area_striata_grey_pct_diff","Area_striata_grey_status","Neocortex_grey_Stephan","Neocortex_grey_volumes_wide","Neocortex_grey_pct_diff","Neocortex_grey_status","Mesencephalon_Stephan","Mesencephalon_volumes_wide","Mesencephalon_pct_diff","Mesencephalon_status","Cerebellum_Stephan","Cerebellum_volumes_wide","Cerebellum_pct_diff","Cerebellum_status","Hippocampus_Stephan","Hippocampus_volumes_wide","Hippocampus_pct_diff","Hippocampus_status","Nucleus_dentatus_cerebelli_Stephan","Nucleus_dentatus_cerebelli_volumes_wide","Nucleus_dentatus_cerebelli_pct_diff","Nucleus_dentatus_cerebelli_status"
"Cebuella_pygmaea","PRUNED","-","yes",,4005.8,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,11,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Cebus_sp.","PRUNED","-","yes",,76500,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,7050,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Cercocebus_torquatus","PRUNED","-","yes",,98850,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,8650,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Cercopithecus_sp.","PRUNED","-","yes",,64000,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,6200,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Chrysochloris_asiatica","PRUNED","-","yes",,657,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,44.3,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,43.2,,"volumes_wide_only",,72.6,,"volumes_wide_only",,66.3,,"volumes_wide_only",,,,"both_missing"
"Chrysochloris_stuhlmanni","PRUNED","-","yes",,693,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,43.5,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,42,,"volumes_wide_only",,74.7,,"volumes_wide_only",,59.1,,"volumes_wide_only",,,,"both_missing"
"Crocidura_flavescens","PRUNED","-","yes",,408,,"volumes_wide_only",,0.28,,"volumes_wide_only",,6.82,,"volumes_wide_only",,1.63,,"volumes_wide_only",,4.99,,"volumes_wide_only",,,,"both_missing",,0.142,,"volumes_wide_only",,2.19,,"volumes_wide_only",,16.8,,"volumes_wide_only",,,,"both_missing",,54.12,,"volumes_wide_only",,27.7,,"volumes_wide_only",,51.3,,"volumes_wide_only",,38.5,,"volumes_wide_only",,0.47,,"volumes_wide_only"
"Crocidura_russula","PRUNED","-","yes",,178,,"volumes_wide_only",,0.08,,"volumes_wide_only",,11.1,,"volumes_wide_only",,0.781,,"volumes_wide_only",,1.487,,"volumes_wide_only",,,,"both_missing",,0.0889,,"volumes_wide_only",,0.727,,"volumes_wide_only",,8.17,,"volumes_wide_only",,,,"both_missing",,23.98,,"volumes_wide_only",,11.7,,"volumes_wide_only",,21.8,,"volumes_wide_only",,15.9,,"volumes_wide_only",,0.23,,"volumes_wide_only"
"Desmana_moschata","PRUNED","-","yes",,3620,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,222,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,219,,"volumes_wide_only",,514,,"volumes_wide_only",,267,,"volumes_wide_only",,,,"both_missing"
"Echinops_telfairi","PRUNED","-","yes",,566,,"volumes_wide_only",,0.37,,"volumes_wide_only",,22.1,,"volumes_wide_only",,2.44,,"volumes_wide_only",,5.224,,"volumes_wide_only",,,,"both_missing",,0.242,,"volumes_wide_only",,2.23,,"volumes_wide_only",,24.1,,"volumes_wide_only",,,,"both_missing",,46.23,,"volumes_wide_only",,43.8,,"volumes_wide_only",,57.9,,"volumes_wide_only",,46.4,,"volumes_wide_only",,0.46,,"volumes_wide_only"
"Elephantulus_fuscipes","PRUNED","-","yes",,1233,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,44.5,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,117,,"volumes_wide_only",,183,,"volumes_wide_only",,173,,"volumes_wide_only",,,,"both_missing"
"Erinaceus_europaeus","PRUNED","-","yes",,3050,,"volumes_wide_only",,3.9,,"volumes_wide_only",,104,,"volumes_wide_only",,13.3,,"volumes_wide_only",,68.35,,"volumes_wide_only",,,,"both_missing",,0.903,,"volumes_wide_only",,18.8,,"volumes_wide_only",,147,,"volumes_wide_only",,,,"both_missing",,454.1,,"volumes_wide_only",,151,,"volumes_wide_only",,394,,"volumes_wide_only",,237,,"volumes_wide_only",,3.83,,"volumes_wide_only"
"Eulemur_albifrons","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Galemys_pyrenaicus","PRUNED","-","yes",,1230,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,74.4,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,62.2,,"volumes_wide_only",,184,,"volumes_wide_only",,109,,"volumes_wide_only",,,,"both_missing"
"Gorilla_sp.","PRUNED","-","yes",,401785,,"volumes_wide_only",,300.1,,"volumes_wide_only",,,,"both_missing",,2604,,"volumes_wide_only",,,,"both_missing",,2145.5,,"volumes_wide_only",,178,,"volumes_wide_only",,2471,,"volumes_wide_only",,14567,,"volumes_wide_only",,12062,,"volumes_wide_only",,,,"both_missing",,4352,,"volumes_wide_only",,68650,,"volumes_wide_only",,4781,,"volumes_wide_only",,534.6,,"volumes_wide_only"
"Hemicentetes_semispinosus","PRUNED","-","yes",,757,,"volumes_wide_only",,0.37,,"volumes_wide_only",,22.3,,"volumes_wide_only",,3.12,,"volumes_wide_only",,5.865,,"volumes_wide_only",,,,"both_missing",,0.188,,"volumes_wide_only",,2.81,,"volumes_wide_only",,29.8,,"volumes_wide_only",,,,"both_missing",,67.57,,"volumes_wide_only",,44.8,,"volumes_wide_only",,117,,"volumes_wide_only",,63.7,,"volumes_wide_only",,1.16,,"volumes_wide_only"
"Hemiechinus_auritus","PRUNED","-","yes",,1710,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,30.8,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,81.1,,"volumes_wide_only",,,,"both_missing",,278.7,,"volumes_wide_only",,110,,"volumes_wide_only",,198,,"volumes_wide_only",,130,,"volumes_wide_only",,,,"both_missing"
"Homo_sapiens_sapiens","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Lagothrix_lagothricha","PRUNED","-","yes",,95503,,"volumes_wide_only",,164,,"volumes_wide_only",,,,"both_missing",,845,,"volumes_wide_only",,16727,,"volumes_wide_only",,,,"both_missing",,63.8,,"volumes_wide_only",,612,,"volumes_wide_only",,4947,,"volumes_wide_only",,4856,,"volumes_wide_only",,49147,,"volumes_wide_only",,1582,,"volumes_wide_only",,11268,,"volumes_wide_only",,1586,,"volumes_wide_only",,108.57,,"volumes_wide_only"
"Microgale_cowani","PRUNED","-","yes",,392,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,19.4,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,24,,"volumes_wide_only",,49.5,,"volumes_wide_only",,36.4,,"volumes_wide_only",,,,"both_missing"
"Microgale_mergulus","PRUNED","-","yes",,1046,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,57.9,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,67.4,,"volumes_wide_only",,176,,"volumes_wide_only",,78.2,,"volumes_wide_only",,,,"both_missing"
"Micropotamogale_lamottei","PRUNED","-","yes",,743,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,32.6,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,58.6,,"volumes_wide_only",,82.7,,"volumes_wide_only",,77.7,,"volumes_wide_only",,,,"both_missing"
"Neomys_fodiens","PRUNED","-","yes",,299,,"volumes_wide_only",,,,"both_missing",,13.4,,"volumes_wide_only",,,,"both_missing",,6.371,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,18.7,,"volumes_wide_only",,,,"both_missing",,50.19,,"volumes_wide_only",,17.3,,"volumes_wide_only",,38.9,,"volumes_wide_only",,32.9,,"volumes_wide_only",,,,"both_missing"
"Nesogale_dobsoni","PRUNED","-","yes",,513,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,23.1,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,37.9,,"volumes_wide_only",,57.3,,"volumes_wide_only",,67,,"volumes_wide_only",,,,"both_missing"
"Nesogale_talazaci","PRUNED","-","yes",,741,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,31.2,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,47.2,,"volumes_wide_only",,92.3,,"volumes_wide_only",,98.9,,"volumes_wide_only",,,,"both_missing"
"Oryzorictes_hova","PRUNED","-","yes",,538,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,32.5,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,26.6,,"volumes_wide_only",,81.3,,"volumes_wide_only",,64.3,,"volumes_wide_only",,,,"both_missing"
"Papio_cynocephalus","PRUNED","-","yes",,143300,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,13600,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Pongo_sp.","PRUNED","-","yes",,340925,,"volumes_wide_only",,259.1,,"volumes_wide_only",,1400,,"volumes_wide_only",,1800,,"volumes_wide_only",,81500,,"volumes_wide_only",,1331.5,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,11500,,"volumes_wide_only",,8400,,"volumes_wide_only",,129900,,"volumes_wide_only",,4000,,"volumes_wide_only",,49800,,"volumes_wide_only",,2700,,"volumes_wide_only",,,,"both_missing"
"Potamogale_velox","PRUNED","-","yes",,3878,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,134,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,254,,"volumes_wide_only",,605,,"volumes_wide_only",,298,,"volumes_wide_only",,,,"both_missing"
"Rhynchocyon_cirnei","PRUNED","-","yes",,5680,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,222,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,523,,"volumes_wide_only",,798,,"volumes_wide_only",,582,,"volumes_wide_only",,,,"both_missing"
"S._oedipus","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Sapajus_apella","PRUNED","-","yes",,66450,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,6450,,"volumes_wide_only",,,,"both_missing",,,,"both_missing"
"Setifer_setosus","PRUNED","-","yes",,1404,,"volumes_wide_only",,1.05,,"volumes_wide_only",,67.2,,"volumes_wide_only",,5.49,,"volumes_wide_only",,17.4,,"volumes_wide_only",,,,"both_missing",,0.316,,"volumes_wide_only",,8.57,,"volumes_wide_only",,56.6,,"volumes_wide_only",,,,"both_missing",,116.7,,"volumes_wide_only",,75.7,,"volumes_wide_only",,142,,"volumes_wide_only",,99.2,,"volumes_wide_only",,1.21,,"volumes_wide_only"
"Solenodon_paradoxus","PRUNED","-","yes",,4282,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,255,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,206,,"volumes_wide_only",,753,,"volumes_wide_only",,296,,"volumes_wide_only",,,,"both_missing"
"Sorex_araneus","PRUNED","-","yes",,188,,"volumes_wide_only",,0.07,,"volumes_wide_only",,7.19,,"volumes_wide_only",,0.979,,"volumes_wide_only",,1.536,,"volumes_wide_only",,,,"both_missing",,0.105,,"volumes_wide_only",,0.61,,"volumes_wide_only",,10.5,,"volumes_wide_only",,,,"both_missing",,24.82,,"volumes_wide_only",,10.8,,"volumes_wide_only",,20.4,,"volumes_wide_only",,20.6,,"volumes_wide_only",,0.21,,"volumes_wide_only"
"Sorex_minutus","PRUNED","-","yes",,103,,"volumes_wide_only",,0.06,,"volumes_wide_only",,3.34,,"volumes_wide_only",,0.65,,"volumes_wide_only",,0.844,,"volumes_wide_only",,,,"both_missing",,0.0569,,"volumes_wide_only",,0.288,,"volumes_wide_only",,6.02,,"volumes_wide_only",,,,"both_missing",,11.81,,"volumes_wide_only",,5.91,,"volumes_wide_only",,11,,"volumes_wide_only",,10.5,,"volumes_wide_only",,0.13,,"volumes_wide_only"
"Suncus_murinus","PRUNED","-","yes",,354,,"volumes_wide_only",,0.18,,"volumes_wide_only",,,,"both_missing",,1.58,,"volumes_wide_only",,3.54,,"volumes_wide_only",,,,"both_missing",,0.116,,"volumes_wide_only",,1.18,,"volumes_wide_only",,14.8,,"volumes_wide_only",,,,"both_missing",,50.59,,"volumes_wide_only",,24.2,,"volumes_wide_only",,44.8,,"volumes_wide_only",,31.2,,"volumes_wide_only",,0.44,,"volumes_wide_only"
"Talpa_europaea","PRUNED","-","yes",,953,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,60.2,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,49.8,,"volumes_wide_only",,174,,"volumes_wide_only",,86.8,,"volumes_wide_only",,,,"both_missing"
"Tarsius_sp.","PRUNED","-","yes",,3393,,"volumes_wide_only",,20.8,,"volumes_wide_only",,49.8,,"volumes_wide_only",,16.1,,"volumes_wide_only",,137,,"volumes_wide_only",,,,"both_missing",,1.09,,"volumes_wide_only",,16.7,,"volumes_wide_only",,133,,"volumes_wide_only",,349,,"volumes_wide_only",,1631,,"volumes_wide_only",,197,,"volumes_wide_only",,428,,"volumes_wide_only",,153,,"volumes_wide_only",,3.37,,"volumes_wide_only"
"Tarsius_spp.","PRUNED","-","yes",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing"
"Tenrec_ecaudatus","PRUNED","-","yes",,2315,,"volumes_wide_only",,1.46,,"volumes_wide_only",,88.1,,"volumes_wide_only",,11,,"volumes_wide_only",,35.51,,"volumes_wide_only",,,,"both_missing",,0.481,,"volumes_wide_only",,13.2,,"volumes_wide_only",,98.1,,"volumes_wide_only",,,,"both_missing",,235.4,,"volumes_wide_only",,132,,"volumes_wide_only",,309,,"volumes_wide_only",,146,,"volumes_wide_only",,3.33,,"volumes_wide_only"
"Tupaia_glis","PRUNED","-","yes",,2999,,"volumes_wide_only",,12.9,,"volumes_wide_only",,76.5,,"volumes_wide_only",,17.2,,"volumes_wide_only",,94.83,,"volumes_wide_only",,,,"both_missing",,1.39,,"volumes_wide_only",,24.6,,"volumes_wide_only",,140,,"volumes_wide_only",,169,,"volumes_wide_only",,941.4,,"volumes_wide_only",,256,,"volumes_wide_only",,376,,"volumes_wide_only",,152,,"volumes_wide_only",,5.13,,"volumes_wide_only"
"Tupaia_minor","PRUNED","-","yes",,2430,,"volumes_wide_only",,9.88,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,,,"both_missing",,124,,"volumes_wide_only",,152,,"volumes_wide_only",,,,"both_missing",,249,,"volumes_wide_only",,308,,"volumes_wide_only",,132,,"volumes_wide_only",,,,"both_missing"
"Urogale_everetti","PRUNED","-","yes",,3997,,"volumes_wide_only",,9.98,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,199.2,,"volumes_wide_only",,,,"both_missing",,,,"both_missing",,,,"both_missing",,199,,"volumes_wide_only",,123,,"volumes_wide_only",,1139,,"volumes_wide_only",,307,,"volumes_wide_only",,513,,"volumes_wide_only",,173,,"volumes_wide_only",,7,,"volumes_wide_only"
