Species,Preferred_brain_volume,raw_region,Region_volume,Structure,rCMRGlc
Cercopithecus_ascanius,64671.81,ASG_Sousa,4272,Area striata grey,35.8
Cercopithecus_ascanius,64671.81,NeoG_Frahm,32114,Neocortex grey,33.5
Cercopithecus_ascanius,64671.81,Mesencephalon,1162,Mesencephalon,25.2727272727273
Cercopithecus_ascanius,64671.81,Cerebellum,5828,Cerebellum,29.7507692307692
Cercopithecus_ascanius,64671.81,Hippocampus,1189,Hippocampus,25.7
Cercopithecus_ascanius,64671.81,Lateral_cerebellar_nuclei,67.67,Nucleus dentatus cerebelli,24.2
Cercopithecus_mitis,69112,LGN_Sousa,150,Corpus geniculatum laterale,23.1
Cercopithecus_mitis,69112,Amygdala,,Amygdala,22.2
Cercopithecus_mitis,69112,Pallidum,,Pallidum,21.9
Cercopithecus_mitis,69112,NeoW_Frahm,,Neocortex white,12.3
Cercopithecus_mitis,69112,Total_insula_volume_L,614,Insular cortex (grey),30.3
Cercopithecus_mitis,69112,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Cercopithecus_mitis,69112,Capsula_interna,,Capsula interna,25.5
Cercopithecus_mitis,69112,Striatum,2733,Striatum,36.2663366336634
Cercopithecus_mitis,69112,ASG_Sousa,4232,Area striata grey,35.8
Cercopithecus_mitis,69112,NeoG_Frahm,,Neocortex grey,33.5
Cercopithecus_mitis,69112,Mesencephalon,1354,Mesencephalon,25.2727272727273
Cercopithecus_mitis,69112,Cerebellum,6758,Cerebellum,29.7507692307692
Cercopithecus_mitis,69112,Hippocampus,1366,Hippocampus,25.7
Cercopithecus_mitis,69112,Lateral_cerebellar_nuclei,82.38,Nucleus dentatus cerebelli,24.2
Cheirogaleus_major,6563.71,LGN_Sousa,21.5,Corpus geniculatum laterale,23.1
Cheirogaleus_major,6563.71,Amygdala,99.4,Amygdala,22.2
Cheirogaleus_major,6563.71,Pallidum,31.6,Pallidum,21.9
Cheirogaleus_major,6563.71,NeoW_Frahm,,Neocortex white,12.3
Cheirogaleus_major,6563.71,Total_insula_volume_L,,Insular cortex (grey),30.3
Cheirogaleus_major,6563.71,Nucleus_subthalamicus,2.27,Nucleus subthalamicus Luysi,25.2
Cheirogaleus_major,6563.71,Capsula_interna,48.6,Capsula interna,25.5
Cheirogaleus_major,6563.71,Striatum,327,Striatum,36.2663366336634
Cheirogaleus_major,6563.71,ASG_Sousa,433,Area striata grey,35.8
Cheirogaleus_major,6563.71,NeoG_Frahm,,Neocortex grey,33.5
Cheirogaleus_major,6563.71,Mesencephalon,241,Mesencephalon,25.2727272727273
Cheirogaleus_major,6563.71,Cerebellum,947,Cerebellum,29.7507692307692
Cheirogaleus_major,6563.71,Hippocampus,347,Hippocampus,25.7
Cheirogaleus_major,6563.71,Lateral_cerebellar_nuclei,9.95,Nucleus dentatus cerebelli,24.2
Cheirogaleus_medius,3030.89,LGN_Sousa,10.8,Corpus geniculatum laterale,23.1
Cheirogaleus_medius,3030.89,Amygdala,63.2,Amygdala,22.2
Cheirogaleus_medius,3030.89,Pallidum,,Pallidum,21.9
Cheirogaleus_medius,3030.89,NeoW_Frahm,,Neocortex white,12.3
Cheirogaleus_medius,3030.89,Total_insula_volume_L,,Insular cortex (grey),30.3
Cheirogaleus_medius,3030.89,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Cheirogaleus_medius,3030.89,Capsula_interna,,Capsula interna,25.5
Cheirogaleus_medius,3030.89,Striatum,145,Striatum,36.2663366336634
Cheirogaleus_medius,3030.89,ASG_Sousa,199,Area striata grey,35.8
Cheirogaleus_medius,3030.89,NeoG_Frahm,,Neocortex grey,33.5
Cheirogaleus_medius,3030.89,Mesencephalon,145,Mesencephalon,25.2727272727273
Cheirogaleus_medius,3030.89,Cerebellum,437,Cerebellum,29.7507692307692
Cheirogaleus_medius,3030.89,Hippocampus,174,Hippocampus,25.7
Cheirogaleus_medius,3030.89,Lateral_cerebellar_nuclei,4.27,Nucleus dentatus cerebelli,24.2
Colobus_angolensis,71815,LGN_Sousa,103,Corpus geniculatum laterale,23.1
Colobus_angolensis,71815,Amygdala,,Amygdala,22.2
Colobus_angolensis,71815,Pallidum,,Pallidum,21.9
Colobus_angolensis,71815,NeoW_Frahm,,Neocortex white,12.3
Colobus_angolensis,71815,Total_insula_volume_L,222,Insular cortex (grey),30.3
Colobus_angolensis,71815,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Colobus_angolensis,71815,Capsula_interna,,Capsula interna,25.5
Colobus_angolensis,71815,Striatum,,Striatum,36.2663366336634
Colobus_angolensis,71815,ASG_Sousa,,Area striata grey,35.8
Colobus_angolensis,71815,NeoG_Frahm,,Neocortex grey,33.5
Colobus_angolensis,71815,Mesencephalon,,Mesencephalon,25.2727272727273
Colobus_angolensis,71815,Cerebellum,,Cerebellum,29.7507692307692
Colobus_angolensis,71815,Hippocampus,,Hippocampus,25.7
Colobus_angolensis,71815,Lateral_cerebellar_nuclei,,Nucleus dentatus cerebelli,24.2
Daubentonia_madagascariensis,43581.08,LGN_Sousa,58.5,Corpus geniculatum laterale,23.1
Daubentonia_madagascariensis,43581.08,Amygdala,473,Amygdala,22.2
Daubentonia_madagascariensis,43581.08,Pallidum,,Pallidum,21.9
Daubentonia_madagascariensis,43581.08,NeoW_Frahm,5053,Neocortex white,12.3
Daubentonia_madagascariensis,43581.08,Total_insula_volume_L,,Insular cortex (grey),30.3
Daubentonia_madagascariensis,43581.08,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Daubentonia_madagascariensis,43581.08,Capsula_interna,,Capsula interna,25.5
Daubentonia_madagascariensis,43581.08,Striatum,2765,Striatum,36.2663366336634
Daubentonia_madagascariensis,43581.08,ASG_Sousa,1113,Area striata grey,35.8
Daubentonia_madagascariensis,43581.08,NeoG_Frahm,17074,Neocortex grey,33.5
Daubentonia_madagascariensis,43581.08,Mesencephalon,897,Mesencephalon,25.2727272727273
Daubentonia_madagascariensis,43581.08,Cerebellum,6461,Cerebellum,29.7507692307692
Daubentonia_madagascariensis,43581.08,Hippocampus,1776,Hippocampus,25.7
Daubentonia_madagascariensis,43581.08,Lateral_cerebellar_nuclei,61.03,Nucleus dentatus cerebelli,24.2
Erythrocebus_patas,103167,LGN_Sousa,267,Corpus geniculatum laterale,23.1
Erythrocebus_patas,103167,Amygdala,,Amygdala,22.2
Erythrocebus_patas,103167,Pallidum,,Pallidum,21.9
Erythrocebus_patas,103167,NeoW_Frahm,,Neocortex white,12.3
Erythrocebus_patas,103167,Total_insula_volume_L,,Insular cortex (grey),30.3
Erythrocebus_patas,103167,Nucleus_subthalamicus,,Nucleus subthalamicus Luysi,25.2
Erythrocebus_patas,103167,Capsula_interna,,Capsula interna,25.5
Erythrocebus_patas,103167,Striatum,3624,Striatum,36.2663366336634
Erythrocebus_patas,103167,ASG_Sousa,,Area striata grey,35.8
Erythrocebus_patas,103167,NeoG_Frahm,,Neocortex grey,33.5
Erythrocebus_patas,103167,Mesencephalon,1621,Mesencephalon,25.2727272727273
Erythrocebus_patas,103167,Cerebellum,8738,Cerebellum,29.7507692307692
Erythrocebus_patas,103167,Hippocampus,1591,Hippocampus,25.7
Erythrocebus_patas,103167,Lateral_cerebellar_nuclei,126.31,Nucleus dentatus cerebelli,24.2
Eulemur_fulvus,22490.35,LGN_Sousa,51.8,Corpus geniculatum laterale,23.1
Eulemur_fulvus,22490.35,Amygdala,251,Amygdala,22.2
Eulemur_fulvus,22490.35,Pallidum,212,Pallidum,21.9
Eulemur_fulvus,22490.35,NeoW_Frahm,3035,Neocortex white,12.3
Eulemur_fulvus,22490.35,Total_insula_volume_L,,Insular cortex (grey),30.3
Eulemur_fulvus,22490.35,Nucleus_subthalamicus,13.9,Nucleus subthalamicus Luysi,25.2
Eulemur_fulvus,22490.35,Capsula_interna,248,Capsula interna,25.5
Eulemur_fulvus,22490.35,Striatum,1215,Striatum,36.2663366336634
Eulemur_fulvus,22490.35,ASG_Sousa,1253,Area striata grey,35.8
